run_tag,seed,N_loc,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,sigma_min_Hu_min,sigma_min_Hu_mean,sigma_min_Mk_min,sigma_min_Mk_mean,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95
N1000_sigma0p3_seed001,1,1000,0.3,1,0.04229034506082646,0.03133516284352155,280.9188797551906,416.4187550428319,0.0007102012639748855,0.00010265247645124973,nan,nan,0.24891545952671482,0.46270089742661574,3,1,180.0,180.0
N1000_sigma0p4_seed001,1,1000,0.4,1,0.041040363156028534,0.02965578932572871,287.53154349222314,409.3481751973741,0.0004892449719946495,0.0001013613562505684,nan,nan,0.24891545952671482,0.46212583607748203,3,2,180.0,180.0
N1000_sigma0p45_seed001,1,1000,0.45,1,0.0353501632116486,0.023090424875511235,302.73450524371583,439.32359493337566,0.0032468197264516616,0.00011305709390794224,nan,nan,0.24891545952671482,0.46517923162856356,4,75,180.0,180.0
N1000_sigma0p5_seed001,1,1000,0.5,1,0.03472711965264846,0.022481435795835107,221.726610751939,348.12227016082016,0.030502296484744826,0.0002501446402600461,nan,nan,0.24891545952671482,0.45565307003913547,3,398,180.0,180.0
N1000_sigma0p55_seed001,1,1000,0.55,1,0.034715597981423076,0.022475673185935317,213.74481525504962,317.42168988566846,0.18826497266082515,0.0006429450330815553,nan,nan,0.24891545952671482,0.4556973049221341,4,400,180.0,180.0
N1000_sigma0p6_seed001,1,1000,0.6,1,0.03473576933378685,0.022490998295815415,218.3992872509407,338.780385046266,0.02396425045728736,0.00024553205891669034,nan,nan,0.24891545952671482,0.45483350770845193,3,400,180.0,180.0
N1000_sigma0p65_seed001,1,1000,0.65,1,0.03475647889608046,0.022516322090555315,216.11682400514837,328.1773849856107,0.014546590861244716,0.00013845038276664195,nan,nan,0.24891545952671482,0.4554096424276651,3,400,180.0,180.0
N1000_sigma0p7_seed001,1,1000,0.7,1,0.03475647889608046,0.022516322090555315,216.1568797507789,326.01943990448484,0.014546590861244716,0.00013845038276664195,nan,nan,0.24891545952671482,0.4554096424276651,3,400,180.0,180.0
N1000_sigma0p8_seed001,1,1000,0.8,1,0.03474513028183771,0.022503434306926837,220.25196674629115,346.1094100493938,0.00047475600077491497,0.00010115962516699094,nan,nan,0.24891545952671482,0.4559128944837495,3,400,180.0,180.0
N1000_sigma0p2_seed002,2,1000,0.2,1,0.06003383140314292,0.0608548789484445,277.0727629942121,424.89229502389117,0.004269150064014584,0.00011937012649084763,nan,nan,0.29386113380205214,0.46015132346729976,5,0,180.0,180.0
N1000_sigma0p3_seed002,2,1000,0.3,1,0.0550087815175308,0.05170420147017707,282.474477753276,429.0422050864435,0.0008223179364873826,0.0001105977294101727,nan,nan,0.25105579495480984,0.45995658876691126,3,1,180.0,180.0
