K,seed,steps,sigma_min_Ag,sigma_min_Hu,slack_norm_max,slack_norm_mean,total_cost,ISE,IAE,mean_solve_time_ms,npz_path
170,3,200,1.3872322362077714e-07,0.3906197562291373,0.001140076771496727,0.00013391411690591025,0.020128487268998164,3.478746112767045e-06,4.15820942918749e-06,545.430309502699,logs/reacher_k_sweep_quick_fixedK\run_K170_seed003.npz
170,4,200,1.4931063354071703e-07,0.3208816361691684,0.00070538194835052,0.00012376551623684805,0.018953352227476128,3.488576360345625e-06,4.046176199639961e-06,540.5581040000834,logs/reacher_k_sweep_quick_fixedK\run_K170_seed004.npz
180,0,200,1.5714744610064583e-07,0.38658928460408865,0.0013528344049644637,0.0001408907135388869,0.019625055938026447,3.2331002956480652e-06,3.8058012986829867e-06,669.992172500788,logs/reacher_k_sweep_quick_fixedK\run_K180_seed000.npz
180,1,200,2.473391679231606e-07,0.4065114258758286,0.0051925935756492484,0.00021050059971574367,0.018098832107089936,3.112310758065181e-06,3.636578886025682e-06,640.5573300004471,logs/reacher_k_sweep_quick_fixedK\run_K180_seed001.npz
180,2,200,1.416979013981574e-07,0.42089501888366215,0.007378683699277179,0.0002363093253966856,0.019455210708151455,3.1381260195211143e-06,3.7305125521555723e-06,670.0058375002118,logs/reacher_k_sweep_quick_fixedK\run_K180_seed002.npz
180,3,200,1.4921318258561957e-07,0.37590987217674615,0.002671750477134928,0.00015617795703399287,0.019785493487601117,3.1553233243908553e-06,3.7777729573719657e-06,662.9267485009041,logs/reacher_k_sweep_quick_fixedK\run_K180_seed003.npz
180,4,200,1.519956048857091e-07,0.39664508070003285,0.002535333216421926,0.00018361034536471741,0.01905768937218882,3.2297461226713884e-06,3.7621751568709166e-06,661.6040789992257,logs/reacher_k_sweep_quick_fixedK\run_K180_seed004.npz
190,0,200,1.6418136822271587e-07,0.4514216597470767,0.0006102701746471679,0.00012912341450060192,0.018877614601638185,2.9715819570070708e-06,3.493901591945436e-06,715.7874985002854,logs/reacher_k_sweep_quick_fixedK\run_K190_seed000.npz
190,1,200,2.589217587000231e-07,0.406171945443008,0.000749969315094961,0.00013564753747836097,0.017838652207898147,2.994990133122662e-06,3.4872802481103108e-06,694.983769000537,logs/reacher_k_sweep_quick_fixedK\run_K190_seed001.npz
190,2,200,1.5331047543265833e-07,0.42161731061026503,0.0006807819499087933,0.00013818555177775056,0.0191993557711084,2.931101657466174e-06,3.463291914900421e-06,728.8503309998487,logs/reacher_k_sweep_quick_fixedK\run_K190_seed002.npz
190,3,200,1.6249936308142334e-07,0.3867604611410253,0.0006343445125599736,0.00013362366713902193,0.020181054643794487,3.1375272082403944e-06,3.7360761640956457e-06,714.4661430001725,logs/reacher_k_sweep_quick_fixedK\run_K190_seed003.npz
190,4,200,1.5610583380597732e-07,0.3961634326611739,0.000656139820655693,0.00013217547894406025,0.01840597281697967,2.9889687853352335e-06,3.446963643279692e-06,708.1669455012889,logs/reacher_k_sweep_quick_fixedK\run_K190_seed004.npz
200,0,200,1.6930067244583443e-07,0.45498287423738326,0.001651168698716213,0.00015917165371064773,0.019099855980426492,3.0458264088837846e-06,3.572407859007823e-06,882.5197759989533,logs/reacher_k_sweep_quick_fixedK\run_K200_seed000.npz
200,1,200,2.6274424856869415e-07,0.42156516871931576,0.0060471164574273165,0.0002078783735058686,0.01757495945795693,2.95834518260911e-06,3.4571603202211486e-06,846.8356890010182,logs/reacher_k_sweep_quick_fixedK\run_K200_seed001.npz
200,2,200,1.5623689602585104e-07,0.4266077666182905,0.0067348847427285636,0.000247756942831343,0.019720881852712292,3.0883614580360083e-06,3.6728351187613923e-06,876.2818290000723,logs/reacher_k_sweep_quick_fixedK\run_K200_seed002.npz
200,3,200,1.67082989068805e-07,0.4282528645567101,0.0025508074503958035,0.00018390042872134694,0.02004024373025492,3.085588938054998e-06,3.6818177864530296e-06,869.7474039989174,logs/reacher_k_sweep_quick_fixedK\run_K200_seed003.npz
200,4,200,1.5831615487028017e-07,0.41716072079360883,0.003467386265732095,0.000172765031586041,0.01840350157926083,3.079341998999229e-06,3.563993251673783e-06,839.8188864994154,logs/reacher_k_sweep_quick_fixedK\run_K200_seed004.npz
