rho,seed,steps,k_opt_mean,k_opt_var,k_opt_med,k_opt_p90,sigma_min_Ag,infeasible_rate,solve_ms_mean,solve_ms_total,success,npz_path
0.01,6,400,40.0,0.0,40.0,40.0,0.0001241307683865675,0.03,135.24282075406518,54097.12830162607,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.01_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed006.npz
0.01,7,400,40.0,0.0,40.0,40.0,0.0001106049886372912,0.0675,140.16778900055215,56067.11560022086,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.01_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed007.npz
0.01,8,400,40.0,0.0,40.0,40.0,0.00010059314739718385,0.06,136.79231549846008,54716.926199384034,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.01_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed008.npz
0.01,9,400,40.0,0.0,40.0,40.0,9.914242600158878e-05,0.0625,138.53031025180826,55412.124100723304,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.01_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed009.npz
0.05,0,400,64.7,30266.41,40.0,40.0,5.577618750409775e-05,0.055,135.2775702488725,54111.028099549,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed000.npz
0.05,1,400,54.125,16255.734375,40.0,40.0,3.1279908395840227e-06,0.065,144.7828962490894,57913.158499635756,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed001.npz
0.05,2,400,55.55,17653.197500000006,40.0,40.0,0.0001687617701852988,0.07,137.26223900273908,54904.89560109563,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed002.npz
0.05,3,400,48.6,10629.54,40.0,40.0,0.00010177388396007284,0.045,139.40286049677525,55761.1441987101,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed003.npz
0.05,4,400,58.625,22946.359375,40.0,40.0,9.395821287589386e-05,0.0575,138.9755284957937,55590.21139831748,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed004.npz
0.05,5,400,46.675,7590.194375000001,40.0,40.0,0.00016625245557980685,0.04,136.7094377524336,54683.775100973435,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed005.npz
0.05,6,400,72.9,40033.09,40.0,40.0,5.804138620320397e-05,0.05,130.5688422502135,52227.5369000854,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed006.npz
0.05,7,400,44.5,1864.25,40.0,40.0,0.00016559586804007186,0.05,139.79002400214085,55916.00960085634,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed007.npz
0.05,8,400,46.925,11196.294375,40.0,40.0,9.202301437755635e-05,0.0975,141.11433824989945,56445.73529995978,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed008.npz
0.05,9,400,45.65,9797.077499999998,40.0,40.0,9.03753162597091e-05,0.0375,134.7943534955266,53917.74139821064,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed009.npz
0.1,0,400,154.125,123802.734375,40.0,840.0,5.7286941973136875e-05,0.0275,135.1314624978113,54052.58499912452,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed000.npz
0.1,1,400,151.275,119973.124375,40.0,120.00000000001819,3.1279908395840227e-06,0.0425,130.57646899862448,52230.58759944979,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.1_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed001.npz
