N_loc,sigma_bar,succ,rmse,t_mean_ms,slack_max,Kopt_mean,seed,rmse_n,t_mean_ms_n,slack_max_n,Kopt_mean_n,score
20000,0.6,1,0.05439,128.0,0.00028,239.0,1,0.586925079531764,0.127101150103214,9.736150326003023e-05,0.5157894736842087,0.34393321269179244
200,0.65,1,0.0347,211.0,0.0619,182.0,1,0.017356089094088728,0.3718667059864335,0.9999999999837731,0.3157894736842094,0.3472775331836299
1000,0.5,1,0.04596,298.0,0.000945,196.0,1,0.3430720277598187,0.6284281922736636,0.01088826144791341,0.3649122807017531,0.35125035356718903
1000,0.55,1,0.04169,323.0,0.00652,227.0,1,0.2195545270402212,0.7021527572987297,0.10135332489369174,0.4736842105263141,0.35468329669845633
500,0.6,1,0.0435,297.0,0.00269,254.0,1,0.2719120624740552,0.625479209672661,0.039204231979372284,0.5684210526315769,0.35823863169839837
20000,0.65,1,0.05362,154.0,0.000296,270.0,1,0.5646514318610169,0.20377469772928275,0.0003569921786201117,0.6245614035087697,0.37055985613876685
2000,0.5,1,0.0512,249.0,0.00693,195.0,1,0.4946485391815261,0.483928044824534,0.10800636094979384,0.3614035087719285,0.394653225384492
20000,0.7,1,0.05032,219.0,0.000305,301.0,1,0.4691929418435293,0.3954585667944547,0.0005030344335101574,0.7333333333333307,0.39664242532272703
1000,0.7,1,0.04482,275.0,0.00683,310.0,1,0.31009545848105025,0.5606015924506028,0.10638366922879332,0.7649122807017517,0.4002021574560922
10000,0.65,1,0.05098,253.0,0.000515,280.0,1,0.4882846398470268,0.4957239752285446,0.003910687047611226,0.6596491228070152,0.41897435557652146
500,0.7,1,0.04294,314.0,0.0113,315.0,1,0.2557130459862392,0.675611913889706,0.17891798915751603,0.7824561403508744,0.4243402157510565
10000,0.6,1,0.05409,242.0,0.000485,242.0,1,0.5782470349847196,0.4632851666175155,0.0034238795313110727,0.5263157894736823,0.42675224997558125
20000,0.8,1,0.0523,206.0,0.000375,362.0,1,0.5264680358540218,0.35712179298142027,0.0016389186382105136,0.9473684210526282,0.4423007094725001
1000,0.65,1,0.05129,248.0,0.00836,280.0,1,0.4972519525456394,0.4809790622235314,0.1312108525601011,0.6596491228070152,0.4443350855072111
10000,0.7,1,0.05476,222.0,0.000435,308.0,1,0.5976280011397853,0.4043055145974626,0.0026125336708108186,0.7578947368421025,0.45433429636575734
30000,0.7,1,0.05446,233.0,0.00028,302.0,1,0.588949956592741,0.4367443232084917,9.736150326003023e-05,0.7368421052631553,0.45531185152934467
500,0.8,1,0.04865,253.0,0.00646,375.0,1,0.4208851605316493,0.4957239752285446,0.10037970986109143,0.9929824561403473,0.4613083684130662
1000,0.6,1,0.05161,306.0,0.00604,254.0,1,0.50650853339582,0.6520200530816848,0.09356440463288931,0.5684210526315769,0.4695844654500636
10000,0.8,1,0.05381,211.0,0.00276,368.0,1,0.5701475267408115,0.3718667059864335,0.040340116184072634,0.9684210526315755,0.47435686832448387
30000,0.8,1,0.0566,208.0,0.0049,364.0,1,0.6508533410283237,0.3630197581834256,0.07506571901348351,0.9543859649122772,0.5092673144967241
1000,0.8,1,0.05024,306.0,0.00557,377.0,1,0.46687879663098425,0.6520200530816848,0.08593775354418692,0.9999999999999964,0.5169440826316517
10000,0.4,1,0.06867,182.0,0.0136,142.0,1,0.9999999999710733,0.2863462105573568,0.2162398987405277,0.17543859649122745,0.5411503218495581
2000,0.65,1,0.05224,394.0,0.012,283.0,1,0.5247324269446131,0.9115305219699177,0.1902768312045196,0.6701754385964889,0.5763572833007019
2000,0.55,1,0.05323,318.0,0.041,224.0,1,0.5533699739498592,0.6874078442937165,0.6608574302946669,0.46315789473684044,0.5948451209228323
2000,0.6,1,0.053,403.0,0.0231,251.0,1,0.546716806463792,0.9380713653789414,0.370395612235576,0.5578947368421032,0.6109678969036828
2000,0.7,1,0.0527,412.0,0.0134,315.0,1,0.5380387619167475,0.9646122087879653,0.21299451529852673,0.7824561403508744,0.6163358810760268
2000,0.8,1,0.04757,424.0,0.0232,374.0,1,0.38964420016228984,0.999999999999997,0.3720183039565765,0.9894736842105227,0.628682393487809
