N_loc,sigma_bar,succ,rmse,t_mean_ms,avg_ctrl_ms,slack_max,Kopt_mean
20000,0.6,1,0.05439,128.0,277.4721062416211,0.00028,239.0
20000,0.65,1,0.05362,154.0,319.33710075274576,0.000296,270.0
20000,0.7,1,0.05032,219.0,399.4258632417768,0.000305,301.0
20000,0.8,1,0.0523,206.0,427.2236117563443,0.000375,362.0
20000,1.0,1,0.05627,66.0,469.36660599603783,0.000291,515.0
20000,2.0,0,0.1134,80.3,1854.9670572479954,0.000308,2200.0
20000,5.0,1,0.04243,205.0,37402.49403974856,1.01,2220.0
30000,0.2,0,0.08344,62.6,187.89357574598398,0.000323,56.5
30000,0.3,1,0.06123,84.9,213.36199175333604,0.000357,92.0
30000,0.4,1,0.05552,93.2,227.53905250167008,0.00176,134.0
30000,0.45,1,0.05394,99.1,230.83397949812934,0.00259,161.0
30000,0.5,1,0.05233,90.8,232.52542249916587,0.000292,186.0
30000,0.55,1,0.05137,99.2,282.2771922481479,0.000276,213.0
30000,0.6,1,0.05252,111.0,274.71031049790327,0.000276,240.0
30000,0.65,1,0.05189,143.0,321.1429817392491,0.000286,270.0
30000,0.7,1,0.05446,233.0,441.5457144973334,0.00028,302.0
30000,0.8,1,0.0566,208.0,448.33497924439143,0.0049,364.0
30000,1.0,1,0.06577,66.1,496.35954050463624,0.000296,527.0
30000,2.0,0,0.1049,69.4,1925.6381090008654,0.000316,2130.0
