file,K,seed,total_cost,rmse_ee,ISE,IAE,sigma_min_all,solve_ms_mean,solve_ms_p95,solve_ms_max,sigma_Mk_min,sigma_Mk_mean,sigma_Mk_p10,slack_inf_max,slack_inf_mean,slack_violation_rate,kkt_max,eq_max,status_fail_count
run_fixedk_K160_seed003.npz,160,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,62.76437799911946,93.93772499170153,107.65150003135204,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K160_seed004.npz,160,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,60.62156950705685,92.1876800712198,126.09939998947084,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K210_seed000.npz,210,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,59.30829900549725,87.78073999565095,92.87680010311306,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K210_seed001.npz,210,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,62.18934198259376,88.91736515797673,131.41470006667078,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K210_seed002.npz,210,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,62.941009007627144,99.97024004114789,139.6592000965029,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
run_fixedk_K210_seed003.npz,210,3,0.16254060717369595,0.1285545077324665,2.449595300623402e-05,3.2343680990297456e-05,10.617474151254688,61.562636997550726,90.39696994004771,111.88869993202388,0.1888396147175695,0.22283087352680991,0.20842450055749343,8.139920684575447,0.41852494820684855,0.955,20212035.502232347,7.886604869239674e-05,7
run_fixedk_K210_seed004.npz,210,4,0.20089198341165476,0.1445808613517809,2.7537244200519077e-05,3.49924614511299e-05,10.617474151254688,62.328898491105065,97.30365010909735,121.67689995840192,0.18899920267028164,0.22111368752445404,0.20411857514471826,4.503879737478193,0.3163405212329898,0.93,20219721.218092542,3.2360404746015534e-05,4
run_fixedk_K260_seed000.npz,260,0,0.13415897122325518,0.11973136335059652,2.3630099274399745e-05,3.06243072224506e-05,10.617474151254688,60.17111249733716,88.67496005259454,108.14670007675886,0.17890820941435612,0.22074032337166904,0.20301200302781955,9.640730223882578,0.20369201064298564,0.94,20139373.71624967,1.2381148584657265e-05,1
run_fixedk_K260_seed001.npz,260,1,0.1816732529086088,0.1362811815735321,2.560755551179275e-05,3.23757296535129e-05,10.617474151254688,61.50916749378666,88.69812493212521,133.13239999115467,0.17846824033646994,0.22052553915190556,0.20554950102453695,5.934055809615319,0.39444762015342966,0.83,20232995.196330972,5.979458474251655e-05,6
run_fixedk_K260_seed002.npz,260,2,0.1889150734466135,0.14141760532643638,2.689792650832441e-05,3.2472045097744065e-05,10.617474151254688,60.75702800415456,92.4736951594241,115.720400121063,0.1914314863006343,0.21959824906718975,0.204516082377876,5.660999785461257,0.268352590006849,0.9,20380094.28461979,8.504793601468385e-05,7
