sigma_bar,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,cost_median,cost_p10,cost_p90,cost_min,cost_max,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,ISE_median,ISE_p10,ISE_p90,ISE_min,ISE_max,IAE_median,IAE_p10,IAE_p90,IAE_min,IAE_max,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max,group
0.2,0.06264342037475895,0.06264342037475895,0.06264342037475895,0.06264342037475895,0.06264342037475895,0.1594950653848781,0.1594950653848781,0.1594950653848781,0.1594950653848781,0.1594950653848781,445.8379322104156,445.8379322104156,445.8379322104156,445.8379322104156,445.8379322104156,62.55,62.55,62.55,62.55,62.55,0.1353109918342337,0.1353109918342337,0.1353109918342337,0.1353109918342337,0.1353109918342337,2.6626554899167813e-05,2.6626554899167813e-05,2.6626554899167813e-05,2.6626554899167813e-05,2.6626554899167813e-05,3.517290809610003e-05,3.517290809610003e-05,3.517290809610003e-05,3.517290809610003e-05,3.517290809610003e-05,3.5702781360698945,3.5702781360698945,3.5702781360698945,3.5702781360698945,3.5702781360698945,0.05,0.05,0.05,0.05,0.05,N_loc=500
0.30000000000000004,0.037074825769379226,0.037074825769379226,0.037074825769379226,0.037074825769379226,0.037074825769379226,0.09410663854754829,0.09410663854754829,0.09410663854754829,0.09410663854754829,0.09410663854754829,708.1246184790507,708.1246184790507,708.1246184790507,708.1246184790507,708.1246184790507,96.265,96.265,96.265,96.265,96.265,0.10653897908111112,0.10653897908111112,0.10653897908111112,0.10653897908111112,0.10653897908111112,1.9456599051436018e-05,1.9456599051436018e-05,1.9456599051436018e-05,1.9456599051436018e-05,1.9456599051436018e-05,2.4297218638566268e-05,2.4297218638566268e-05,2.4297218638566268e-05,2.4297218638566268e-05,2.4297218638566268e-05,0.2354463180474515,0.2354463180474515,0.2354463180474515,0.2354463180474515,0.2354463180474515,0.01,0.01,0.01,0.01,0.01,N_loc=500
0.4,0.024980104065110694,0.024980104065110694,0.024980104065110694,0.024980104065110694,0.024980104065110694,0.2714723002829974,0.2714723002829974,0.2714723002829974,0.2714723002829974,0.2714723002829974,822.2312596160918,822.2312596160918,822.2312596160918,822.2312596160918,822.2312596160918,110.335,110.335,110.335,110.335,110.335,0.1836536458443598,0.1836536458443598,0.1836536458443598,0.1836536458443598,0.1836536458443598,3.595092928747053e-05,3.595092928747053e-05,3.595092928747053e-05,3.595092928747053e-05,3.595092928747053e-05,4.267968994284701e-05,4.267968994284701e-05,4.267968994284701e-05,4.267968994284701e-05,4.267968994284701e-05,0.25507022177472694,0.25507022177472694,0.25507022177472694,0.25507022177472694,0.25507022177472694,0.005,0.005,0.005,0.005,0.005,N_loc=500
0.5,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1261.9256992265582,1261.9256992265582,1261.9256992265582,1261.9256992265582,1261.9256992265582,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=500
0.6,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1326.351758488454,1326.351758488454,1326.351758488454,1326.351758488454,1326.351758488454,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=500
0.7000000000000001,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1227.8231697762385,1227.8231697762385,1227.8231697762385,1227.8231697762385,1227.8231697762385,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=500
0.8,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1237.7660706173629,1237.7660706173629,1237.7660706173629,1237.7660706173629,1237.7660706173629,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=500
0.9,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.16321904021764663,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,1162.9143199836835,1162.9143199836835,1162.9143199836835,1162.9143199836835,1162.9143199836835,163.605,163.605,163.605,163.605,163.605,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0003072227936634908,0.0,0.0,0.0,0.0,0.0,N_loc=500
0.1,0.10567672112840291,0.10567672112840291,0.10567672112840291,0.10567672112840291,0.10567672112840291,0.19681591319032193,0.19681591319032193,0.19681591319032193,0.19681591319032193,0.19681591319032193,138.4303885186091,138.4303885186091,138.4303885186091,138.4303885186091,138.4303885186091,19.89,19.89,19.89,19.89,19.89,0.13907889831988401,0.13907889831988401,0.13907889831988401,0.13907889831988401,0.13907889831988401,2.6658070850493398e-05,2.6658070850493398e-05,2.6658070850493398e-05,2.6658070850493398e-05,2.6658070850493398e-05,3.579058799231027e-05,3.579058799231027e-05,3.579058799231027e-05,3.579058799231027e-05,3.579058799231027e-05,6.054337429856177,6.054337429856177,6.054337429856177,6.054337429856177,6.054337429856177,0.635,0.635,0.635,0.635,0.635,N_loc=1000
0.2,0.006516798190587003,0.006516798190587003,0.006516798190587003,0.006516798190587003,0.006516798190587003,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,0.2861781556708072,484.00990483816713,484.00990483816713,484.00990483816713,484.00990483816713,484.00990483816713,72.66,72.66,72.66,72.66,72.66,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,0.1891355832449142,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,3.7827114249915866e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,5.1166495495087036e-05,0.0019750096870000604,0.0019750096870000604,0.0019750096870000604,0.0019750096870000604,0.0019750096870000604,0.0,0.0,0.0,0.0,0.0,N_loc=1000
