trial_id,N_loc,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95
40,1000,0.2,1,0.04019373023493323,0.029141567391365076,177.73500350187533,248.22451492073003,0.0023879800068790915,0.0002205453961795096,7,0,68.47,77.0
41,1000,0.3,1,0.049932961170790796,0.0431131936731918,227.15573049383238,351.6822599922307,0.002178915799375993,0.0001446878112667635,5,0,103.3075,113.04999999999995
42,1000,0.4,1,0.06710637680616714,0.07519033423159448,312.87592375127133,529.338754992932,0.0010983325149213886,0.00011834471297688477,3,0,154.18,172.0
43,1000,0.45,1,0.050387105827542245,0.04369866242671502,296.07120624452364,415.294354991055,0.0006601364933178433,0.00010860539716056145,4,0,176.2925,188.04999999999995
44,1000,0.5,1,0.06862306897231171,0.07830081383178218,296.5414250007598,454.60046495427343,0.0007979433751980299,0.00010981442820394949,2,0,201.565,229.0
45,1000,0.55,1,0.05106684797490729,0.04454806973947551,323.0114247521851,632.2130250569897,0.005767310942327544,0.00017361444136762387,3,0,226.685,247.0
46,1000,0.6,1,0.059213146657391594,0.05889128258801552,320.6223635014612,679.7572250361554,0.005325328121663746,0.0001698654591468061,3,0,256.355,293.04999999999995
47,1000,0.65,1,0.05807211616634696,0.05667427884584197,271.8259157479042,651.0699099802855,0.004272185723566873,0.000132910916448707,4,0,284.9825,331.2999999999997
48,1000,0.7,1,0.061492312600746835,0.0631230360443952,294.636065250088,766.757685039192,0.003944176025831653,0.00016742173264620134,3,0,315.245,356.04999999999995
49,1000,0.8,1,0.05739640515491429,0.05535416753082706,285.74837850232143,917.7814599475823,0.011125340579539428,0.0003525349483473922,3,0,383.585,467.14999999999986
50,1000,1.0,1,0.07182265887719799,0.08485335698728903,82.45070825592848,150.18087008502334,0.0004930351507083841,0.0001240907267765003,2,1,580.0575719649562,736.1999999999998
51,1000,2.0,1,0.04118953415220371,0.03033377694471468,219.73607300198637,332.22312000580087,0.0006775484769913904,0.00010544265416797857,2,398,198.2636815920398,180.0
52,1000,5.0,1,0.04750127222875112,0.03955619744195596,219.027842747455,328.2166600169144,0.005316449163012334,0.00011983258686147222,4,400,180.0,180.0
53,2000,0.2,1,0.04019373023493323,0.029141567391365076,177.73928450245876,248.2619350485038,0.0023879800068790915,0.0002205453961795096,7,0,68.47,77.0
54,2000,0.3,1,0.049932961170790796,0.0431131936731918,227.57965199940372,354.12453496828675,0.002178915799375993,0.0001446878112667635,5,0,103.3075,113.04999999999995
55,2000,0.4,1,0.06710637680616714,0.07519033423159448,313.395437746658,536.2004950060509,0.0010983325149213886,0.00011834471297688477,3,0,154.18,172.0
56,2000,0.45,1,0.050387105827542245,0.04369866242671502,296.7256019980414,428.2789599616077,0.0006601364933178433,0.00010860539716056145,4,0,176.2925,188.04999999999995
57,2000,0.5,1,0.06862306897231171,0.07830081383178218,295.8873122467776,459.19649002607906,0.0007979433751980299,0.00010981442820394949,2,0,201.565,229.0
58,2000,0.55,1,0.05107060203921516,0.04455463077225071,330.18242700287374,636.0444849997292,0.006025446153162655,0.0001719710977069164,3,0,226.8725,247.0
59,2000,0.6,1,0.05921216911551151,0.05889013005769442,316.3937214994803,678.3492949209176,0.004102914893608669,0.00013697330811966604,3,0,256.74,293.04999999999995
60,2000,0.65,1,0.05806915186765481,0.05666844162925594,260.316312998184,582.6082650979508,0.0014385845026689765,0.00010093151887501721,4,0,283.96,331.2999999999997
