sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.04,25,unified_a001,40,1,1,0,19,-1,0.97,291,1,1.0,1.0,0.14597102609333282,50.513333333333335,78.0,0.49239388732623696,9.402238636059467,62.52756763005261,577.0
0.04,26,fixedK40,40,1,1,0,19,-1,0.92,276,1,1.0,1.0,0.12370223238667828,40.0,40.0,0.5589600751198981,nan,nan,nan
0.04,26,unified_a001,40,1,1,0,19,-1,0.9,270,1,0.9966666666666667,1.0,0.14733191999332576,53.21,80.0,1.4600809653801436,12.5978033147395,62.59873609155046,577.0
0.04,27,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.12833561445999142,40.0,40.0,0.32166153353578814,nan,nan,nan
0.04,27,unified_a001,40,0,1,1,19,273,0.8733333333333333,262,1,1.0,1.0,0.1610013523866625,56.89666666666667,80.0,1.0434814863616368,14.876931344090723,61.19462300111104,577.0
0.04,28,fixedK40,40,1,1,0,218,-1,0.38,101,1,1.0,1.0,0.1119094115266489,40.0,40.0,4.033309538684172,nan,nan,nan
0.04,28,unified_a001,40,0,1,1,19,203,0.72,195,1,1.0,1.0,0.1431198490866685,46.71,81.0,1.4174544330000425,15.53943222390883,65.19309020854514,577.0
0.04,29,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.12958249820669002,40.0,40.0,0.4437554855201831,nan,nan,nan
0.04,29,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.15514241474665746,51.47,81.0,0.5804333491083321,9.716102042892238,61.42316921092183,577.0
0.06,0,fixedK40,40,0,1,1,19,104,0.38,84,1,1.0,1.0,0.11361485573332478,40.0,40.0,3.885854227958392,nan,nan,nan
0.06,0,unified_a001,40,0,1,1,19,240,0.7633333333333333,229,1,1.0,1.0,0.15343052639665986,50.25,77.0,2.270163075431983,18.59668293053535,63.3232586407302,577.0
0.06,1,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.1341787543500095,40.0,40.0,0.42869730654575733,nan,nan,nan
0.06,1,unified_a001,40,0,1,1,19,171,0.7157534246575342,163,1,1.0,1.0,0.14704310272603,47.78082191780822,79.0,2.2429542507813065,19.17786076653225,66.28730164668846,577.0
0.06,2,fixedK40,40,0,1,1,19,66,0.29333333333333333,55,1,1.0,1.0,0.11436306608666655,40.0,40.0,4.900940298266926,nan,nan,nan
0.06,2,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.17007370707999447,53.696666666666665,88.0,0.6534096092842473,12.410715469075084,59.386130910104086,577.0
0.06,3,fixedK40,40,0,1,1,19,137,0.42333333333333334,127,1,1.0,1.0,0.11835401900666966,40.0,40.0,3.8602078389405072,nan,nan,nan
0.06,3,unified_a001,40,0,1,1,19,198,0.75,189,1,1.0,1.0,0.16220839428334632,51.25,85.0,1.90944337093793,18.802628510044446,63.806246505877986,577.0
0.06,4,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.13425455805669723,40.0,40.0,0.587174239564888,nan,nan,nan
0.06,4,unified_a001,40,0,1,1,43,51,0.7255639097744361,155,1,1.0,1.0,0.14163475453007668,46.725563909774436,80.0,2.4311633809924307,15.94322008821791,66.05011175695827,577.0
0.06,5,fixedK40,40,0,1,1,19,255,0.8133333333333334,244,1,1.0,1.0,0.1328395104266762,40.0,40.0,1.69298799681412,nan,nan,nan
0.06,5,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.16251974609333955,52.42666666666667,86.0,0.5208373525246337,10.281349158546567,60.37809599549264,577.0
0.06,6,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.13085750596000556,40.0,40.0,0.9426812577975515,nan,nan,nan
0.06,6,unified_a001,40,1,1,0,259,-1,0.41333333333333333,60,1,1.0,1.0,0.13103865416331245,43.66,78.0,3.2165822136383144,24.787360853755022,70.98975563052082,577.0
0.06,7,fixedK40,40,0,1,1,19,167,0.7033333333333334,152,1,1.0,1.0,0.128573085406656,40.0,40.0,2.969267023871411,nan,nan,nan
0.06,7,unified_a001,40,0,1,1,19,227,0.7366666666666667,221,1,1.0,1.0,0.1488834206933249,48.776666666666664,78.0,1.406773469464657,15.540875068919389,64.46439573521161,577.0
0.06,8,fixedK40,40,0,1,1,19,144,0.5033333333333333,136,1,1.0,1.0,0.11748006253333036,40.0,40.0,3.819715327649561,nan,nan,nan
0.06,8,unified_a001,40,0,1,1,19,189,0.61,182,1,1.0,1.0,0.1426350858633441,48.25333333333333,89.0,1.783816033188859,20.956506619891005,65.59579312540212,577.0
0.06,9,fixedK40,40,0,1,1,19,148,0.5666666666666667,114,1,1.0,1.0,0.12443733082000108,40.0,40.0,3.203427199731293,nan,nan,nan
0.06,9,unified_a001,40,0,1,1,19,145,0.5,136,1,1.0,1.0,0.14048535614333862,45.81333333333333,88.0,3.3494182240701496,22.94148485191485,71.07796366034667,577.0
0.06,10,fixedK40,40,0,1,1,19,120,0.35333333333333333,79,1,1.0,1.0,0.11789655712333266,40.0,40.0,3.4372121258888644,nan,nan,nan
0.06,10,unified_a001,40,0,1,1,19,104,0.43,79,1,1.0,1.0,0.13272495360332717,44.06666666666667,85.0,4.159498164329279,26.182799224293806,71.71537791929089,577.0
