mode,seed,K,rho,target_mode,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,tracking_rmse,tracking_phase_lag_steps,tracking_phase_lag_rad,tracking_phase_corr,tracking_amp_ratio,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
adaptive_rho,0,40,0.05,waypoint,400,53.075,41790.29437499999,8.157949899124345e-05,20485.76248133448,1.1167310597694615,0.02181026374322098,0.0004289470626927708,20058453.945410807,6.340114937231873e-05,0.0575,0.058668750325692146,0.10821925998925237,0.18933254054304896,0.027869414920405806,0,0.058668750325692146,0.0,0.0,-inf,43602933101.09263,7.177972868544767,17.37532618164444,1.0910276850623741,0.005,0.058757679592393634,1.7336988949428145e-05,2.3239319113594845e-05,139.60456775210332,55841.82710084133,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed000.npz
adaptive_rho,1,40,0.05,waypoint,400,55.125,44436.484375,8.05944688592033e-06,55804.37652542319,1.142613167387407,0.016564814446815374,0.00036510979166121143,20043114.506626364,6.805008671364646e-05,0.03,0.03888247744491752,0.08302882669692273,0.1845795350613701,0.016507665238570658,0,0.03888247744491752,0.0,0.0,-inf,27101288766.477024,6.244275534456179,13.655560858244913,0.9711733409424155,0.0025,0.028391664775862937,1.1123271895805558e-05,1.4870277446583001e-05,135.44846149918158,54179.38459967263,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed001.npz
adaptive_rho,2,40,0.05,waypoint,400,67.125,27501.484375,0.0001708563773807047,22778.04794792106,1.2361525153178219,0.012236958876963988,0.0004907084835270219,20056785.663657285,3.883283275059989e-05,0.0575,0.04910596108394485,0.10522816262974397,0.1965072841060796,0.015315730890553216,0,0.04910596108394485,0.0,0.0,-inf,28901953537.107185,7.635308372390134,15.912562254760436,0.7308279575850053,0.005,0.04330503794195285,1.2885143898261035e-05,1.6777454822956016e-05,141.04205524839927,56416.822099359706,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed002.npz
adaptive_rho,3,40,0.05,waypoint,400,49.325,30999.294374999994,0.00016659343471625736,17288.197960375874,1.0968705727716017,0.007227551615694152,0.0004358926843681464,20057645.848551523,3.132950991460378e-05,0.0575,0.04594392988385417,0.09906670313488705,0.2005980452050341,0.014761030046551254,0,0.04594392988385417,0.0,0.0,-inf,29246104095.652763,6.673320011516598,13.53631082906497,1.0268110495389327,0.005,0.038229204792226607,1.4320881821538369e-05,1.9620295591741766e-05,140.57475999783492,56229.90399913397,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed003.npz
adaptive_rho,4,40,0.05,waypoint,400,53.15,36132.57749999999,0.00016675727704816828,18812.540378625235,1.1276967899938124,0.0298101841936339,0.0004691562349339064,20053975.928511295,8.55168750632317e-05,0.0575,0.04351271046897967,0.09372909818317152,0.18075376050906805,0.02884699759192811,0,0.04351271046897967,0.0,0.0,-inf,30111165325.46664,5.929860688214905,12.22406755259385,0.8278855845916638,0.0025,0.03474503344946711,1.3533688578511303e-05,1.8404500475070293e-05,146.14438099670224,58457.752398680896,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed004.npz
adaptive_rho,5,40,0.05,waypoint,400,46.675,7590.194375000001,0.00016625245557980685,17298.75187356623,1.1240966784169568,0.08272985383646916,0.0006647964132171171,20053774.23447387,0.0002474316529244681,0.035,0.04591572513844308,0.10112246758634932,0.18032804779153147,0.028911959582812344,0,0.04591572513844308,0.0,0.0,-inf,30810011113.577408,5.028490729402243,11.15349035109275,0.7407437173224761,0.0,0.03706756417740711,1.3321652239690861e-05,1.7066073595009758e-05,138.59828524960903,55439.314099843614,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed005.npz
adaptive_rho,6,40,0.05,waypoint,400,81.625,106682.109375,8.129486646675604e-05,28719.343302562982,1.1819658517877094,0.025916745536370297,0.0005459084870394066,20058720.65503464,0.00011656099578716279,0.045,0.04822495444807578,0.10853673006855705,0.19056018734854613,0.01186735901758515,0,0.04822495444807578,0.0,0.0,-inf,27426962159.57124,8.050547573627561,19.17753595320898,1.1689716818966038,0.0025,0.041201008137542273,1.2257727213949433e-05,1.5776300418138543e-05,141.8429385026684,56737.17540106736,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed006.npz
adaptive_rho,7,40,0.05,waypoint,400,44.5,1864.25,0.00016559586804007186,18017.090603741384,1.060922588580706,0.013570194293980065,0.0004067876556637474,20055346.54972298,3.6868714759276275e-05,0.055,0.04145560517106774,0.08061695364748199,0.18291799181937143,0.030702727526829118,0,0.04145560517106774,0.0,0.0,-inf,26706381001.82454,4.104466704822775,8.379078651973792,0.7514301563538254,0.0,0.03126132004167553,1.2828541484267784e-05,1.748628829772875e-05,140.26242199441185,56104.96879776474,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed007.npz
adaptive_rho,8,40,0.05,waypoint,400,51.175,39410.369375,0.00015268823953968716,17759.664547197357,1.066864269022347,0.014936210184480839,0.000432900039828326,20054863.718892325,4.3009985554250915e-05,0.0525,0.04868079095499115,0.1051324684281212,0.18784995195697984,0.030051445757341592,0,0.04868079095499115,0.0,0.0,-inf,34848712451.31134,5.833102860815059,14.215664414380116,1.2182731889415142,0.0,0.041345316838750104,1.4901604689666217e-05,2.021953086383911e-05,144.6400187499239,57856.007499969564,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed008.npz
adaptive_rho,9,40,0.05,waypoint,400,54.725,43659.42437500001,0.0001505429885317463,19619.371492286908,1.11097433124207,0.14090554403599964,0.0011335854797808174,20056445.386717718,0.0009462215347738563,0.055,0.04937155457888553,0.10399979279439382,0.1845092985691772,0.021822854879656562,0,0.04937155457888553,0.0,0.0,-inf,36959869143.91915,7.123632777155601,14.727364316929364,1.1496674987491398,0.0075,0.04321734656860735,1.534321829482529e-05,2.093482517830947e-05,143.00752925220877,57203.01170088351,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.05_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed009.npz
