K,seed,t,sigma_min_Mk,solve_ms,slack_inf,status
710,2,133,0.21174139702565614,41.51610005646944,0.24144239500056733,optimal
710,2,134,0.23238532490681738,48.78559987992048,0.24719309705920958,optimal
710,2,135,0.22543391260503004,77.12679984979331,1.0777410123595246,optimal
710,2,136,0.21709738368158227,50.255100009962916,0.05680377886217651,optimal
710,2,137,0.2346999013431767,74.80810000561178,0.017770396222369172,optimal
710,2,138,0.22837370037095703,38.826500065624714,0.15077913059578277,optimal
710,2,139,0.20307649493706617,64.52349992468953,0.1051220998136143,optimal
710,2,140,0.2198839644930086,40.26879998855293,0.1232187956806633,optimal
710,2,141,0.21809985380644578,58.19000001065433,5.660999785461257,optimal
710,2,142,0.21915401783249447,54.785000160336494,0.31390601413382235,optimal
710,2,143,0.23251769343644602,86.8997999932617,0.9434547174848655,optimal
710,2,144,0.22337720440025272,61.860499903559685,0.09848419125856081,optimal
710,2,145,0.23179637578005194,63.56370006687939,0.05769945034092854,optimal
710,2,146,0.21957250034196243,42.01809992082417,2.412083352976085,optimal
710,2,147,0.23903284947726997,75.85989986546338,0.008439875483787815,optimal
710,2,148,0.22547345108568964,40.847400203347206,0.02099622938337317,optimal
710,2,149,0.21251679805054224,67.71539989858866,0.0016889948187898273,optimal
710,2,150,0.21901546712411873,66.67470000684261,0.003212427073489196,optimal
710,2,151,0.21026834517975387,34.94639997370541,0.027930012640882417,optimal
710,2,152,0.23588702720699123,89.97470000758767,0.029596164166911576,user_limit
710,2,153,0.23460609141348138,89.41929996944964,0.007333780865086641,optimal_inaccurate
710,2,154,0.22489821299481771,32.644900027662516,0.40542052610406587,optimal
710,2,155,0.223359463147965,39.32900005020201,0.0207724107386908,optimal
710,2,156,0.19782818135352223,44.65380008332431,1.348650419842873,optimal
710,2,157,0.2151782399703571,42.895200196653605,0.012885228993201055,optimal
710,2,158,0.22557104705936062,87.45019999332726,1.9722730049990176,optimal_inaccurate
710,2,159,0.2087680069994557,41.253300150856376,1.5968711263856732,optimal
710,2,160,0.23200126006847094,34.6174999140203,0.05549534364807242,optimal
710,2,161,0.222903909321137,61.5811999887228,0.8409562192050678,optimal
710,2,162,0.211765393950233,79.05029994435608,0.09126033231668002,optimal
710,2,163,0.2218271323003113,38.071899907663465,1.346933643175079,optimal
710,2,164,0.20764791722957845,88.12969992868602,0.48105440710458036,user_limit
710,2,165,0.231448462543462,47.56069998256862,0.0036037289943413897,optimal
710,2,166,0.23412614388157404,55.9990000911057,0.006911185632638145,optimal
710,2,167,0.22673130868093402,51.98049987666309,0.9859912185505033,optimal
710,2,168,0.22285499546536425,59.57869999110699,0.026997660747267612,optimal
710,2,169,0.21811402533920884,79.94650001637638,0.0005393992807124336,optimal
710,2,170,0.21632835964115069,87.3966000508517,0.06297338439879777,user_limit
710,2,171,0.20407297047336237,67.60650011710823,0.0026662111474552415,optimal
710,2,172,0.21697403090758177,48.389900010079145,0.013185722969804152,optimal
710,2,173,0.23006072847292788,55.56490016169846,0.005687840007099524,optimal
710,2,174,0.2345863511431508,43.859400087967515,0.06473133195755493,optimal
710,2,175,0.2257187334901468,69.94760013185441,0.004453404187527349,optimal
710,2,176,0.23347865598937845,72.62150011956692,0.008122282287081443,optimal
710,2,177,0.21389701488408122,54.56009996123612,0.0038278614250077986,optimal
710,2,178,0.23184310434656108,47.31019982136786,0.018711299634049418,optimal
710,2,179,0.24158722639680408,52.69739986397326,0.15450004106842918,optimal
710,2,180,0.19225482077654318,49.033400136977434,0.1763399811147464,optimal
710,2,181,0.22564997168833723,37.06400003284216,0.2899007663970402,optimal
710,2,182,0.20722090178622854,45.31900002621114,0.05955725609528401,optimal
710,2,183,0.21212510427301334,53.64729999564588,0.023010071687321495,optimal
710,2,184,0.22686251316305167,73.9820001181215,0.003082044506745987,optimal
710,2,185,0.21601412441490928,31.886599957942963,0.06732049066866791,optimal
710,2,186,0.23885277561125837,47.601900063455105,0.046381030069728824,optimal
710,2,187,0.2317132671601173,43.33689995110035,0.1606108869134048,optimal
710,2,188,0.21165283950168756,81.87420014292002,0.0249289830580091,optimal
710,2,189,0.21082429568376412,41.965499985963106,0.024955525242498507,optimal
710,2,190,0.21526184212905838,40.89679988101125,0.02402758750247459,optimal
710,2,191,0.2231812546881624,50.581700168550014,0.13207299106680276,optimal
710,2,192,0.2191434608952587,40.16479989513755,0.6044910315330341,optimal
710,2,193,0.2107215002514636,44.59100007079542,0.06497924808717889,optimal
710,2,194,0.22917404158354046,87.9454999230802,0.003388581532460886,optimal_inaccurate
710,2,195,0.22005062377367404,89.53539980575442,0.11538602245942016,user_limit
710,2,196,0.21985704337991926,53.38779999874532,0.032174089214468814,optimal
710,2,197,0.23312680409258427,45.102099888026714,0.16508076575426966,optimal
710,2,198,0.2387287396046443,88.36790011264384,0.0402767455788175,optimal_inaccurate
710,2,199,0.20433595025511342,47.7653001435101,0.08844931144407647,optimal
710,3,0,0.19954747556403982,81.49310015141964,0.000276560519029556,optimal
710,3,1,0.20068846546387786,80.70269995369017,0.0002847295833753328,optimal
710,3,2,0.21070820422198422,70.13570005074143,0.0012316390855984663,optimal
