group,x,metric,median,p10,p90,n
fixedK,80,sigma_min_Ag,6.249069404392242e-08,5.6179830584646475e-08,7.653020300153814e-08,5
fixedK,80,solve_ms,259.2384995002067,254.1663911996875,272.4602567002876,5
fixedK,90,total_cost,0.021940632353372666,0.019882399810305998,0.023109147733724036,5
fixedK,90,rmse_ee,0.04795751296388313,0.04533962468464192,0.049029739479875815,5
fixedK,90,success,1.0,1.0,1.0,5
fixedK,90,slack_max,0.0015275651936000182,0.0007427939015942015,0.0030030499412720306,5
fixedK,90,sigma_min_Ag,7.482492387718788e-08,6.696560611428456e-08,9.897062082676685e-08,5
fixedK,90,solve_ms,289.75073850073386,282.094888699532,292.8071137003717,5
fixedK,100,total_cost,0.02094104311231987,0.019491575117797845,0.026629469080970393,5
fixedK,100,rmse_ee,0.045847278873808205,0.04466542324677192,0.05354248082831755,5
fixedK,100,success,1.0,1.0,1.0,5
fixedK,100,slack_max,0.0016832679192947575,0.0008812774701646721,0.004045203041570125,5
fixedK,100,sigma_min_Ag,7.876489241542676e-08,7.066473357518282e-08,1.0374300328266325e-07,5
fixedK,100,solve_ms,308.8131005008472,304.0653685009456,327.62389570008963,5
fixedK,110,total_cost,0.022122089989915165,0.020170579866740975,0.023916229987861238,5
fixedK,110,rmse_ee,0.04767286225844566,0.04592375486763527,0.0503740520672788,5
fixedK,110,success,1.0,1.0,1.0,5
fixedK,110,slack_max,0.0013271222642927231,0.0005420531214407668,0.0037538965281136497,5
fixedK,110,sigma_min_Ag,9.441386667177924e-08,8.69407050832809e-08,1.1008372898785807e-07,5
fixedK,110,solve_ms,301.0067679968779,291.03064259985695,322.82662179885665,5
fixedK,120,total_cost,0.02066442563353505,0.01972361862893125,0.020903621599084935,5
fixedK,120,rmse_ee,0.04541320786788771,0.044941224494426814,0.04670104609655157,5
fixedK,120,success,1.0,1.0,1.0,5
fixedK,120,slack_max,0.0007808048589929095,0.0004776335995970347,0.0016308582809178207,5
fixedK,120,sigma_min_Ag,1.0715028055095728e-07,9.722511838679054e-08,1.1508732999253732e-07,5
fixedK,120,solve_ms,211.60109299991746,203.3016984022688,220.16805010067765,5
fixedK,130,total_cost,0.020414518381737808,0.018386662720466896,0.02100804555894848,5
fixedK,130,rmse_ee,0.04545629347172906,0.04315998583281228,0.04596434454863253,5
fixedK,130,success,1.0,1.0,1.0,5
fixedK,130,slack_max,0.0004992343607063466,0.00044112516478444304,0.0007586527117832885,5
fixedK,130,sigma_min_Ag,1.1605275617694197e-07,1.0204412436864519e-07,1.2145041455160886e-07,5
fixedK,130,solve_ms,264.7433720011031,248.74138940236298,278.9990710001439,5
fixedK,140,total_cost,0.020035795715248966,0.018261176772443297,0.020946554103880095,5
fixedK,140,rmse_ee,0.04463994400613471,0.04298005901438806,0.04611865065132793,5
fixedK,140,success,1.0,1.0,1.0,5
fixedK,140,slack_max,0.0004988818672295179,0.0004592700012341802,0.0006757761865643433,5
fixedK,140,sigma_min_Ag,1.222161316614222e-07,1.088052760762152e-07,1.2896853192862402e-07,5
fixedK,140,solve_ms,346.58562799799256,329.5856892997399,352.1829897996504,5
fixedK,150,total_cost,0.019292407478353975,0.01750533018687213,0.020804635745620175,5
fixedK,150,rmse_ee,0.04389559177153525,0.04175192113513122,0.045556763201719724,5
fixedK,150,success,1.0,1.0,1.0,5
fixedK,150,slack_max,0.0004769170157842365,0.0004423345867314836,0.0006458423699198107,5
fixedK,150,sigma_min_Ag,1.3250025108682062e-07,1.1688655970984248e-07,1.5692196243368876e-07,5
fixedK,150,solve_ms,357.683596998977,353.1849088994204,385.35568070044974,5
fixedK,160,total_cost,0.019339749799862055,0.017617111816177918,0.0205325693951436,5
fixedK,160,rmse_ee,0.043790259161200495,0.04215025755571194,0.044957185412760406,5
fixedK,160,success,1.0,1.0,1.0,5
fixedK,160,slack_max,0.0005214187014976121,0.00044755352945172465,0.00068003577608866,5
fixedK,160,sigma_min_Ag,1.344534732655847e-07,1.2438576609344858e-07,1.686690726493963e-07,5
fixedK,160,solve_ms,405.41580399818486,401.94849050120683,412.2108539044275,5
fixedK,170,total_cost,0.019627019593460946,0.018322999886142614,0.020409255515938415,5
fixedK,170,rmse_ee,0.044738549588365345,0.04282199184215495,0.045003309205040844,5
fixedK,170,success,1.0,1.0,1.0,5
fixedK,170,slack_max,0.001318869735069885,0.0005374278092861921,0.007334758360026051,5
fixedK,170,sigma_min_Ag,1.3878373703139385e-07,1.3824037226332796e-07,1.753675351451747e-07,5
fixedK,170,solve_ms,407.7691120019881,388.46171279862756,424.69979259965476,5
fixedK,180,total_cost,0.019240932981245292,0.0178807329932368,0.02009081208360494,5
fixedK,180,rmse_ee,0.04346483934067723,0.0423911388010645,0.04456010067234439,5
fixedK,180,success,1.0,1.0,1.0,5
fixedK,180,slack_max,0.0059301643359624245,0.0015137233983932566,0.012143776691031723,5
fixedK,180,sigma_min_Ag,1.519956048857091e-07,1.4470401387314228e-07,2.1126247919415471e-07,5
fixedK,180,solve_ms,472.62084149959264,458.9680046005524,496.39679760125,5
fixedK,190,total_cost,0.019059539870447995,0.017577782524972684,0.020071428376705166,5
fixedK,190,rmse_ee,0.04327840696838376,0.04200031308490831,0.044304683634645854,5
fixedK,190,success,1.0,1.0,1.0,5
fixedK,190,slack_max,0.0010039362367884196,0.0004583065006717614,0.002038287024885204,5
fixedK,190,sigma_min_Ag,1.6249936308142334e-07,1.5442861878198593e-07,2.210256025091002e-07,5
fixedK,190,solve_ms,467.7478989982046,450.06745439925,478.9971488007577,5
fixedK,200,total_cost,0.019026378662621548,0.017127974551131797,0.019780731637042165,5
fixedK,200,rmse_ee,0.043237642238109567,0.04101970089455642,0.04398476004464459,5
fixedK,200,success,1.0,1.0,1.0,5
fixedK,200,slack_max,0.0005599622194227023,0.000516428308606539,0.0013441291258428027,5
fixedK,200,sigma_min_Ag,1.67082989068805e-07,1.570685995636227e-07,2.2536681811955027e-07,5
fixedK,200,solve_ms,435.8041124994634,414.7168161989539,442.97744009975577,5
fixedK,210,total_cost,0.019143832605111873,0.017529206041232925,0.019948864329520463,4
fixedK,210,rmse_ee,0.043332999580373135,0.04159943192554624,0.04450157485554759,4
fixedK,210,success,1.0,1.0,1.0,4
fixedK,210,slack_max,0.0026303396375080084,0.0005512110536473802,0.007462953097846475,4
fixedK,210,sigma_min_Ag,1.774579421497723e-07,1.6577986854297106e-07,2.5183646725947235e-07,4
fixedK,210,solve_ms,603.3955677486665,586.3511040485173,630.6664833502145,4
adaptive_rho,0.6,total_cost,0.025096045456778644,0.02203862565449073,0.027738911613938096,5
adaptive_rho,0.6,rmse_ee,0.052026522471195574,0.048563209989793694,0.05459309785281903,5
adaptive_rho,0.6,success,1.0,1.0,1.0,5
adaptive_rho,0.6,slack_max,0.0017231920803146357,0.0009529918917370719,0.016103070277563202,5
adaptive_rho,0.6,sigma_min_Ag,2.71747264344476e-07,2.6051686396363414e-07,2.4128051877110506e-06,5
adaptive_rho,0.6,solve_ms,729.2488860010053,686.9466730008717,799.0746941005345,5
