K,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
120.0,5,1.0715028055095728e-07,5670148.879263604,1.4283998482687028,0.0007808048589929095,20053599.14673258,0.04541320786788771,1.0,0.02066442563353505,0.8985645500543677,211.60109299991746,120.0
130.0,5,1.1605275617694197e-07,5033834.147456246,1.4628092764202092,0.0004992343607063466,20053550.949078202,0.04545629347172906,1.0,0.020414518381737808,0.9996879478418874,264.7433720011031,130.0
140.0,5,1.222161316614222e-07,4827165.320664198,1.4521931950839189,0.0004988818672295179,20053269.785487786,0.04463994400613471,1.0,0.020035795715248966,0.8737214449273348,346.58562799799256,140.0
150.0,5,1.3250025108682062e-07,4529682.151590113,1.4731060017038413,0.0004769170157842365,20053241.87244709,0.04389559177153525,1.0,0.019292407478353975,0.9268552651116981,357.683596998977,150.0
160.0,5,1.344534732655847e-07,4296809.5032221675,1.4960740195447182,0.0005214187014976121,20053457.14188431,0.043790259161200495,1.0,0.019339749799862055,0.9922751558363436,405.41580399818486,160.0
170.0,5,1.3878373703139385e-07,4075796.852141242,1.5054478806891687,0.001318869735069885,20053938.130581524,0.044738549588365345,1.0,0.019627019593460946,0.7830348271310886,407.7691120019881,170.0
180.0,5,1.519956048857091e-07,3879835.863476299,1.5147777882558142,0.0059301643359624245,20054348.373714637,0.04346483934067723,1.0,0.019240932981245292,0.6524961991941478,472.62084149959264,180.0
190.0,5,1.6249936308142334e-07,3704720.526133926,1.5194277683862714,0.0010039362367884196,20052767.425675835,0.04327840696838376,1.0,0.019059539870447995,0.5761280870378335,467.7478989982046,190.0
200.0,5,1.67082989068805e-07,3586303.5757347997,1.5301726038414474,0.0005599622194227023,20052698.429234177,0.043237642238109567,1.0,0.019026378662621548,0.5564915420080889,435.8041124994634,200.0
210.0,5,1.7262009944040603e-07,3386407.514742328,1.5362496355068678,0.0010987223160937299,20052696.705282908,0.0431144181370698,1.0,0.019071204998812576,0.5562376343002999,606.3758459984092,210.0
220.0,5,1.7946887478026094e-07,3312630.456009871,1.5410761600452911,0.0004906176545409811,20052338.570153233,0.04353889279712829,1.0,0.019390892927973538,0.7065639513091981,627.9504619981162,220.0
230.0,5,1.957519008326828e-07,3169037.9896176294,1.552748995845962,0.0004860750883336261,20052164.230139222,0.04322210928617584,1.0,0.018912309080898883,0.6773039929774065,714.3473074998474,230.0
240.0,5,2.0670253630095169e-07,3114181.7578717773,1.5628404893593584,0.0004917902089637872,20052198.937525816,0.04395890413338915,1.0,0.019385043690558858,0.7075519799090405,757.7847574991756,240.0
250.0,5,2.1150049832777736e-07,3084522.4526501196,1.5722178914736673,0.0016027820166604277,20052826.91332467,0.0442249717913185,1.0,0.019683406071253705,0.6637892405343325,606.3314934988739,250.0
260.0,5,2.1413703606443102e-07,2993840.015138156,1.5826644328511683,0.0012583748817355006,20052867.27079121,0.04363348010109377,1.0,0.019231475558001296,0.6245366216164487,607.4398420003126,260.0
270.0,5,2.2462779987769208e-07,2937363.865567242,1.5825901320839062,0.00053246798715372,20052192.282628305,0.0437963200080126,1.0,0.019286374200549024,0.5801549429079831,692.8183669960708,270.0
280.0,5,2.4655715878391234e-07,2873338.6225144113,1.5921395424854652,0.0025902744700008126,20052168.00773544,0.043223596836797294,1.0,0.018875471045726476,0.7965798730729251,780.5065955015016,280.0
290.0,5,2.512124104846162e-07,2813851.989863725,1.6042223088045326,0.00048514367860661296,20052197.30297804,0.04300518351669645,1.0,0.018771921747526538,0.602811043328864,595.0163459996111,290.0
300.0,5,2.533197738777391e-07,2783952.6750763957,1.6049336203824225,0.0004950455856648395,20051878.58977648,0.04400210072567531,1.0,0.01930138520466696,0.4865927583735274,687.3931910001556,300.0
310.0,5,2.557684739277424e-07,2708610.1656212853,1.6126681315370734,0.00047736235891147644,20051927.990091875,0.04338632600699254,1.0,0.018935271284503192,0.4007764592056668,810.5657789981342,310.0
320.0,5,2.6448604973676765e-07,2707255.9770183754,1.6149935255695467,0.0004777144430443223,20051807.88549077,0.04408017512470105,1.0,0.01955113700815477,0.5408699249375407,703.1933664987446,320.0
