K,seed,rmse,cost,ISE,IAE,solve_mean,solve_var,solve_p95,sigma_mk_mean,sigma_mk_var,sigma_mk_min,sigma_mk_p10,slack_mean,slack_var,slack_max,K_opt_mean,K_opt_var,K_opt_min,K_opt_max,solver_opt_rate,solver_nonopt_count
160,0,0.0821308483816129,0.10971641569911261,3.121889451407295e-05,3.99958099319837e-05,230.38957050419413,8822.21234581167,415.44698002981005,0.21194801994614654,0.0006598576852857199,0.16179635781024396,0.1804335887497167,9.857021172307107e-05,1.0394362363634626e-09,0.0003975435505694676,160.0,0.0,160.0,160.0,1.0,0.0
160,1,0.08294681177930524,0.11221992865968487,3.1774522734467926e-05,4.0803695065073465e-05,236.12039549800102,7716.721118618912,379.4851749902587,0.21510706910458052,0.0005994862548084024,0.16601029906375794,0.18295317539344177,0.00010126356800935806,1.2684960581828634e-09,0.00035801400927199775,160.0,0.0,160.0,160.0,1.0,0.0
160,2,0.13025873278927907,0.2823969700245016,5.1812165008884314e-05,6.436290208495954e-05,245.2581557474332,12696.213893447513,484.7658152109943,0.23702642362350013,0.00016594148859593489,0.20101796449148693,0.22063788252095098,0.0001357739305574695,2.628585952806062e-09,0.00035816154900287535,160.0,0.0,160.0,160.0,1.0,0.0
160,3,0.08050704011390174,0.1056553457638574,3.079791365779287e-05,3.971152233089233e-05,243.2073372544255,8621.606528829587,416.5648750145919,0.21222763548250412,0.0005974727950228112,0.16486793730233615,0.18132170273172044,9.710887131394865e-05,1.2286884935051163e-09,0.00046702247940489636,160.0,0.0,160.0,160.0,1.0,0.0
160,4,0.08364040082416768,0.11370733382467527,3.198055879065694e-05,4.1849587924643504e-05,234.884467748343,9806.726563355638,414.14908990263916,0.21670606257185895,0.0006288158510517496,0.16449298661852024,0.18053364502032984,9.614484472780922e-05,9.036215251443565e-10,0.0003404370685726262,160.0,0.0,160.0,160.0,1.0,0.0
210,0,0.08301996369922404,0.11173706190400123,3.1598188258255615e-05,4.283408889771331e-05,204.74436673568562,5979.851065034246,351.8440951360389,0.26974409503500796,0.0007891652678680678,0.2101854583140094,0.22489316477831092,9.64609188009698e-05,9.716932416078804e-10,0.00038618793606133106,210.0,0.0,210.0,210.0,1.0,0.0
210,1,0.08157865105253474,0.10776653257566604,3.137663040869921e-05,4.310570969939612e-05,210.53023124928586,6899.978975703096,375.8644699235446,0.2748706435217569,0.000639605312460542,0.21005039278118884,0.24032867916521744,9.598420843152187e-05,7.939119807198206e-10,0.0003560400320984444,210.0,0.0,210.0,210.0,1.0,0.0
210,2,0.08344589616353781,0.11296231666858887,3.176081677177335e-05,4.3078623830170264e-05,216.42424625169951,6528.345596891571,366.9106849119998,0.27068818937109784,0.0008081022724034664,0.20685733423485442,0.2269597342974726,9.850749867730909e-05,1.3991235148855028e-09,0.0003855388605962651,210.0,0.0,210.0,210.0,1.0,0.0
210,3,0.08035927930448923,0.10512215030961497,3.0158294952944025e-05,4.067552742362654e-05,191.70226626039948,5891.2851153059755,346.74333002185443,0.26432673692290004,0.0008928802753312265,0.19872327476164672,0.2230912797168327,9.656750546302144e-05,9.925382269743294e-10,0.0003428005769550189,210.0,0.0,210.0,210.0,1.0,0.0
210,4,0.08120326176521138,0.10673144289920648,3.091638337581992e-05,4.196032402502679e-05,203.42576675466262,6417.908133144054,352.6035049580969,0.26974317701472017,0.0008486480768172702,0.2054728955578633,0.22302407424777682,9.721530221180347e-05,8.726079940364445e-10,0.0003443448248744461,210.0,0.0,210.0,210.0,1.0,0.0
