K,sigma_mk_min_mean,sigma_mk_min_var,sigma_mk_min_std,cost_mean,cost_var,cost_std,solve_mean_mean,solve_mean_var,solve_mean_std,K_opt_mean_mean,K_opt_mean_var,K_opt_mean_std,rmse_mean,rmse_var,rmse_std,ISE_mean,ISE_var,ISE_std,IAE_mean,IAE_var,IAE_std,slack_max_mean,slack_max_var,slack_max_std,solver_opt_rate_mean,solver_opt_rate_var,solver_opt_rate_std
510,0.5616889864298781,0.0003738106619692315,0.01933418376785613,0.05874252793593846,3.707352312187743e-05,0.006088803094359139,102.81822359678335,44.73508699716771,6.688429337084134,510.0,0.0,0.0,0.08378224759095051,2.1308554018199877e-05,0.004616118934581287,1.5177402733704335e-05,1.5397165041906212e-12,1.2408531356250912e-06,1.970894849307568e-05,3.3371146070715666e-12,1.8267771093024915e-06,0.0005135940584520424,9.607808041934975e-10,3.099646438214361e-05,1.0,0.0,0.0
560,0.6029469953400609,0.00045759915849524237,0.021391567462325952,0.06192078340578207,5.338141708283833e-05,0.007306258761010201,102.80361060006544,105.23951176596537,10.258631086356765,560.0,0.0,0.0,0.08614527118068378,2.943994499769004e-05,0.005425858917967739,1.5939020181196996e-05,2.2168666021463577e-12,1.4889145718093962e-06,2.075398191835634e-05,4.804785618877727e-12,2.1919821210214577e-06,0.0005066280193926789,1.5387797442771402e-09,3.922728316206898e-05,1.0,0.0,0.0
610,0.6378426643507795,0.0003535507626526636,0.01880294558447329,0.06608487670705047,4.520577080324157e-05,0.006723523689498058,105.44009189982899,57.23625976657828,7.565464940542536,610.0,0.0,0.0,0.08921027943306409,2.3115121765355497e-05,0.004807818815778679,1.686266326690175e-05,1.6199486488087351e-12,1.2727720333228316e-06,2.2065137910150964e-05,3.5973631940596583e-12,1.8966716094410382e-06,0.0005057826553739282,1.5869394727608735e-09,3.9836408883844856e-05,1.0,0.0,0.0
660,0.6704898696835051,0.00016853867086582001,0.012982244446389847,0.07038765471297617,6.463497977269111e-05,0.008039588283779904,109.73182110511698,123.19899482854548,11.099504260485938,660.0,0.0,0.0,0.09219798226412801,3.172192676857684e-05,0.005632222187429829,1.770668279335271e-05,2.088084898052383e-12,1.4450207258210462e-06,2.3395379516536926e-05,4.7156405941778455e-12,2.171552576885452e-06,0.0004923274056212637,3.497736523441741e-10,1.870223655994582e-05,1.0,0.0,0.0
710,0.7058216432056692,3.433899647471337e-05,0.005859948504442114,0.07261313254627959,4.832871966540117e-05,0.006951886050950574,111.07787099899724,46.96027723776443,6.852756907826545,710.0,0.0,0.0,0.09379529935317986,2.280724211230817e-05,0.0047756928410763785,1.8170286712556932e-05,1.3790489077296218e-12,1.174329130920979e-06,2.4145255600947898e-05,3.1727202539816217e-12,1.7812131410871698e-06,0.0005003195660807759,7.654977183541657e-10,2.766762943141616e-05,1.0,0.0,0.0
760,0.7376546284324301,0.00012322895087137927,0.011100853610032846,0.0738840447133062,4.908528154654151e-05,0.007006088890853549,113.97082389588468,48.39687020440397,6.956785910490847,760.0,0.0,0.0,0.09468285491598095,2.2563085504144273e-05,0.004750061631615349,1.8401405057464453e-05,1.3222364754595614e-12,1.149885418404617e-06,2.4619734599049893e-05,3.1040993049845315e-12,1.7618454259623719e-06,0.0004689728811032892,1.2547861776434098e-10,1.1201723874669514e-05,1.0,0.0,0.0
810,0.7744790938174024,4.758721528099319e-05,0.006898348735820276,0.07607249473971447,4.02860682910609e-05,0.006347130713248381,112.25712619931437,41.78731824927682,6.464311119467938,810.0,0.0,0.0,0.09617562126879087,1.7607838814880327e-05,0.004196169540769334,1.878129125812931e-05,9.435156228515679e-13,9.713473234901961e-07,2.526452811987109e-05,2.4401251681812894e-12,1.5620900000260194e-06,0.0005011842641526161,1.229423520814622e-09,3.5063136209053266e-05,1.0,0.0,0.0
860,0.8068183026297083,7.403922510648754e-05,0.008604604877999194,0.0780247949048695,5.20482101412648e-05,0.00721444454835331,109.10878060339019,74.32432853957327,8.621155870274778,860.0,0.0,0.0,0.09745510806855504,2.2572970475111307e-05,0.004751102027436509,1.90964455308174e-05,1.1891484265731327e-12,1.0904808235696457e-06,2.57972372965243e-05,3.0650290354158427e-12,1.7507224324306359e-06,0.0005076340827843023,1.7613501907449997e-09,4.196844279628444e-05,1.0,0.0,0.0
910,0.8375841326810065,7.44964095936387e-05,0.008631130261653956,0.07944951179279187,3.4523834304394255e-05,0.005875698622665585,110.29875510069542,60.245888010758975,7.761822467098753,910.0,0.0,0.0,0.09843349999984692,1.4546996212656396e-05,0.0038140524659024287,1.934379694340276e-05,7.322248641443282e-13,8.557013872516091e-07,2.623945679268351e-05,1.9695446186582913e-12,1.4034046524998737e-06,0.0004997813160745777,3.464820924853664e-09,5.886272950563594e-05,1.0,0.0,0.0
960,0.8748449900322559,7.214351201719133e-05,0.008493733691209733,0.07982335474249383,4.337613890135645e-05,0.006586056399800752,110.8806477044709,80.23276701629908,8.957274530586806,960.0,0.0,0.0,0.09867290973084408,1.823155272552654e-05,0.004269842236608578,1.9396684391797654e-05,9.170771323270236e-13,9.576414424653016e-07,2.639721195077629e-05,2.3780241234739285e-12,1.542084343826215e-06,0.00048601354703040127,1.577393829069231e-09,3.9716417626332195e-05,1.0,0.0,0.0
