K,seed,rmse,cost,ISE,IAE,solve_mean,solve_var,solve_p95,sigma_mk_mean,sigma_mk_var,sigma_mk_min,sigma_mk_p10,slack_mean,slack_var,slack_max,K_opt_mean,K_opt_var,K_opt_min,K_opt_max,solver_opt_rate,solver_nonopt_count
260,4,0.09038034897786716,0.06790190809578166,1.6877109401320174e-05,2.2775824524065826e-05,363.88707599020563,35000.971639401585,697.4836650304496,0.6011938274367872,0.0012039767384720802,0.3587786395425349,0.5614741985391302,0.00011126469688139045,3.3847053064798448e-09,0.0005228261144554953,260.0,0.0,260.0,260.0,1.0,0.0
310,0,0.09615484573044633,0.0765018219238461,1.8655818071549887e-05,2.520915555541972e-05,417.30125948786736,37005.66926641738,739.9143100366927,0.6703996059338176,0.001982748864635338,0.4007153631398241,0.6167924791296685,0.00011035770695813495,3.285431545847908e-09,0.0004956871992116839,310.0,0.0,310.0,310.0,1.0,0.0
310,1,0.06541078723114553,0.03680659758490102,9.404820650963189e-06,1.2595486197998215e-05,260.2880434913095,27636.46768622782,597.1599197946484,0.6925726479070324,0.0011217535206286813,0.3887029319127351,0.6633700030202975,0.00013417504417204056,4.957466107790438e-08,0.0018118347990258383,310.0,0.0,310.0,310.0,0.975,5.0
310,2,0.08091946330037678,0.055211435012598016,1.3641572271467197e-05,1.840846524564701e-05,303.5113735066261,31297.352402132557,639.4340200698929,0.6838993581394172,0.0013425361000808577,0.4018303093704113,0.6343879845544661,0.00011096874967166257,3.794164606108754e-09,0.00046831880828009526,310.0,0.0,310.0,310.0,1.0,0.0
310,3,0.07952935969906695,0.05359183198008016,1.3174142854302494e-05,1.777359333170706e-05,314.0430729975924,29409.772917439415,622.7104699704796,0.6873484644361865,0.0012750179315409943,0.414717893098955,0.6430564683697786,0.00010793643785605045,4.749492944649315e-09,0.0005176229704350628,310.0,0.0,310.0,310.0,1.0,0.0
310,4,0.09158297395449093,0.06943967655411129,1.7339940067543023e-05,2.3396857140701743e-05,403.27731801429763,41368.49084639613,772.8350848774418,0.6758598604330831,0.001667134771039594,0.39926969679634383,0.6254284998530196,0.00010774265782142168,3.053752394746511e-09,0.0004491513545954081,310.0,0.0,310.0,310.0,1.0,0.0
360,0,0.0843255374813845,0.0595540234946065,1.4841020978952392e-05,2.010349114466403e-05,376.5219009993598,46126.14455567266,802.8419899637811,0.7517074595789345,0.001999288848508719,0.43962344832870476,0.6930830591010041,0.00010549677411758267,2.9283589843665645e-09,0.00041853681107844367,360.0,0.0,360.0,360.0,1.0,0.0
360,1,0.07741046182352743,0.05040427650420489,1.2984828591021516e-05,1.7371594742994803e-05,331.6499349894002,30698.343244513126,635.5152950622141,0.7591886978715118,0.0019119150444867694,0.4139179265712571,0.6968223883970788,0.00010452662814190457,2.852634752767838e-09,0.0004419750640958988,360.0,0.0,360.0,360.0,1.0,0.0
360,2,0.0768270643916378,0.05005512959964889,1.2562992285481223e-05,1.6874400357620626e-05,346.16779950098135,38483.26730781716,703.44360001618,0.7596524919914158,0.001825462702654608,0.4401518593992492,0.7042649185844418,0.00010278832521349184,2.971617471944756e-09,0.00044707316366844504,360.0,0.0,360.0,360.0,1.0,0.0
360,3,0.08029715662353182,0.05445434971744298,1.3549848962146088e-05,1.8217855560474255e-05,344.5626194984652,32602.68202961036,668.122774828225,0.7575710908584008,0.0017868644237904292,0.4522376677534432,0.6978349886604875,0.00010613493384931988,3.2809438191424516e-09,0.00046542467336824857,360.0,0.0,360.0,360.0,1.0,0.0
360,4,0.07876762790994034,0.05203858609736886,1.3236789504227021e-05,1.7904459763913976e-05,372.0867595029995,47274.71651518853,809.1784799937157,0.7543336588828913,0.002174313202424561,0.431251809811174,0.6937235029970984,0.00010786232994485877,3.672905003165617e-09,0.0004565320502010278,360.0,0.0,360.0,360.0,1.0,0.0
410,0,0.09087932209213148,0.06865601054779231,1.70838764115945e-05,2.2829643223319877e-05,113.5947610042058,1000.3391029291555,157.70524492254478,0.8063493372298295,0.0031698263700013756,0.48392530426353875,0.7268262657808238,0.00015568402428785364,4.494323056072118e-09,0.0005372649059271021,410.0,0.0,410.0,410.0,1.0,0.0
410,1,0.07172228597060538,0.04363140776731584,1.1547787954984238e-05,1.4899429560691263e-05,90.27079000137746,1445.7672074980326,149.36559512279928,0.838178157141466,0.0019446354801426254,0.45128395929353177,0.7926392702726035,0.000127719384778142,5.0564519938595844e-09,0.0004938347004243797,410.0,0.0,410.0,410.0,1.0,0.0
410,2,0.0848461759616992,0.06033111925636905,1.517964083975715e-05,2.0232611230564042e-05,106.56416300567798,1590.139773759326,172.592044994235,0.8181704947567163,0.002496862673266268,0.4748570726647385,0.7624861147180124,0.00014432335804396857,5.546040802546816e-09,0.0005566701626866635,410.0,0.0,410.0,410.0,1.0,0.0
410,3,0.08901319974383538,0.06623904214723893,1.6461385347600086e-05,2.195190547966612e-05,115.17661949503236,1338.1805909425173,172.48914497904477,0.8162676002091827,0.0024233378293960985,0.489116988501028,0.7553625489003286,0.00015274493224950571,5.17915774676806e-09,0.0005327585563803847,410.0,0.0,410.0,410.0,1.0,0.0
410,4,0.08438250953064327,0.059268696149828645,1.5117618454535183e-05,2.0247012898246725e-05,107.62924799928442,1700.380285169759,168.24858000036323,0.8140307786088029,0.0027572440063663305,0.46806167677667476,0.7449126807329983,0.00014284974731912673,3.9399998446973306e-09,0.0004795304520341188,410.0,0.0,410.0,410.0,1.0,0.0
460,0,0.08493238119628838,0.060227341462770805,1.5389463822062976e-05,2.0213128139416945e-05,101.42593148979358,1187.1837745505989,149.8826950090006,0.8699119435786221,0.003219262309214046,0.5226471463372971,0.7938925250393833,0.00014161612589969652,4.912797922125199e-09,0.0005378336151703578,460.0,0.0,460.0,460.0,1.0,0.0
460,1,0.07343261863076128,0.04549945201832165,1.2169151608985623e-05,1.5459369321342845e-05,87.8566685016267,1357.0946158774902,146.8689349363557,0.8926636031020491,0.0023356011557496307,0.4914511092015886,0.8338941887648396,0.0001246275467676199,3.915096091475756e-09,0.0005158124278452927,460.0,0.0,460.0,460.0,1.0,0.0
460,2,0.0846931387678374,0.06007459753086258,1.5241997786840068e-05,1.9996909252082287e-05,105.4538020095788,1786.797884474292,164.02242488693446,0.8734934940268757,0.002879744364724441,0.5184990146681602,0.8020515876318034,0.00014027119816399435,4.6770552649300034e-09,0.0005180109619429385,460.0,0.0,460.0,460.0,1.0,0.0
460,3,0.08376781704118706,0.059014127072220826,1.4882796591483686e-05,1.955333958744989e-05,105.21433300804347,1778.0888009160321,157.02326516620815,0.8739362364445478,0.0031113613503815684,0.5233395340138609,0.8001655399135778,0.00014118565122381296,5.549534691475242e-09,0.0005931242931514171,460.0,0.0,460.0,460.0,1.0,0.0
460,4,0.0853791370564633,0.06053959553966165,1.5587582332739465e-05,2.0545681145360286e-05,106.67356049758382,1098.469582184832,151.90444509498772,0.8682596573089164,0.003401217379336074,0.5085681763656693,0.7868646411397557,0.00013964295844618943,4.202953801674748e-09,0.0004772415332986127,460.0,0.0,460.0,460.0,1.0,0.0
510,0,0.0876854102701352,0.06392638287774574,1.6237098234369414e-05,2.117013441413971e-05,106.12426149426028,1408.2969537447009,169.07549995230508,0.9196634669829357,0.004206463111793109,0.5768378148771731,0.828694150596808,0.00014473754563694278,5.707782194615161e-09,0.0005134159466634528,510.0,0.0,510.0,510.0,1.0,0.0
510,1,0.07580815207356105,0.04828380282767739,1.3031996791998873e-05,1.652133840241386e-05,92.08071448840201,1757.5096545722108,154.394405183848,0.9429407068186499,0.002699659032103555,0.5290187135983078,0.8793714515650598,0.00012503463810893648,4.176220665742535e-09,0.0004905165928882056,510.0,0.0,510.0,510.0,1.0,0.0
510,2,0.08560135556139813,0.06122736099225385,1.5682330648504158e-05,2.0464384824650637e-05,109.99128949828446,1209.8576976528884,154.65232505230233,0.9253428589259687,0.0035944423235473415,0.5624604941288157,0.8459550097230575,0.00013531332977046037,4.802694035878156e-09,0.0005171454533232423,510.0,0.0,510.0,510.0,1.0,0.0
510,3,0.08544146407811284,0.061130083816227,1.5536853526906598e-05,2.026670339887769e-05,103.73167700134218,1229.779988196717,157.594484987203,0.9260691776706047,0.003667281353814219,0.5647004902182132,0.8427050280671211,0.00013835691254304608,5.318884603950394e-09,0.0005628401991605432,510.0,0.0,510.0,510.0,1.0,0.0
510,4,0.08437485597154541,0.05914500916578834,1.5398734466742637e-05,2.0122181425296507e-05,102.16317550162785,1123.2008434744764,158.62942481180653,0.9238928380071885,0.003929706713998812,0.5754274193268804,0.8333537107765151,0.00013729841737128608,4.294030239892206e-09,0.0004840521002247678,510.0,0.0,510.0,510.0,1.0,0.0
560,0,0.09077601013697859,0.06824867726751634,1.719897703314222e-05,2.2619984474066756e-05,105.8655024995096,966.5492760021447,158.90147497411817,0.9684412892191782,0.0049240925119664785,0.6229681357650158,0.8711024228142604,0.00014639625514723382,4.320934750275971e-09,0.0005038245629364187,560.0,0.0,560.0,560.0,1.0,0.0
560,1,0.07788747999592292,0.050761588289280866,1.3770608256177593e-05,1.753995074998923e-05,88.8188179989811,968.5812718477232,140.96158982720226,0.9976046846887452,0.0034255673799792326,0.5664146957200104,0.9338022237856003,0.00012168968919755136,3.4813943289645892e-09,0.00047090616888768833,560.0,0.0,560.0,560.0,1.0,0.0
