K,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,cost_median,cost_p10,cost_p90,cost_min,cost_max,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,ISE_median,ISE_p10,ISE_p90,ISE_min,ISE_max,IAE_median,IAE_p10,IAE_p90,IAE_min,IAE_max,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max
510,0.5647004902182132,0.5423954258105109,0.576273656657056,0.5290187135983078,0.5768378148771731,0.061130083816227,0.05262828536292177,0.06284677412354898,0.04828380282767739,0.06392638287774574,103.73167700134218,96.11369889369234,108.44447829667479,92.08071448840201,109.99128949828446,510.0,510.0,510.0,510.0,510.0,0.08544146407811284,0.0792348336327548,0.08685178838664037,0.07580815207356105,0.0876854102701352,1.5536853526906598e-05,1.3978691861896379e-05,1.601519120002331e-05,1.3031996791998873e-05,1.6237098234369414e-05,2.026670339887769e-05,1.796167561156692e-05,2.088783457834408e-05,1.652133840241386e-05,2.117013441413971e-05,0.0005134159466634528,0.0004866378972901429,0.0005445623008256228,0.0004840521002247678,0.0005628401991605432,1.0,1.0,1.0,1.0,1.0
560,0.6078916238102404,0.5828042663433223,0.6178096411097086,0.5664146957200104,0.6229681357650158,0.06116274779201947,0.0547242246781429,0.06855710555820115,0.050761588289280866,0.06876272441865768,101.35148049914278,93.57317859889008,112.71272050216794,88.8188179989811,117.27753250394017,560.0,560.0,560.0,560.0,560.0,0.08559869469290637,0.08078866260685337,0.09110464478740862,0.07788747999592292,0.09132373455436198,1.5732113945660807e-05,1.446982777821962e-05,1.73644375790899e-05,1.3770608256177593e-05,1.747474460972169e-05,2.0454558054700054e-05,1.8592169987101043e-05,2.2838944271780844e-05,1.753995074998923e-05,2.29849174702569e-05,0.0005038245629364187,0.0004710004434930799,0.0005478124921289922,0.00047090616888768833,0.0005645274411687209,1.0,1.0,1.0,1.0,1.0
610,0.6438757461652311,0.6200923142363606,0.6491250222515335,0.6046265428993522,0.6507849883627854,0.06548203505968057,0.05946953532390314,0.07228388362936634,0.05583316742962704,0.07304923038557677,107.498793998966,98.09236120362766,110.7005038978532,92.44011001079343,112.12088449625298,610.0,610.0,610.0,610.0,610.0,0.0887650783280197,0.08446517464125922,0.09365382096541332,0.08191001144632182,0.09411232891243934,1.6692212351272788e-05,1.560996145803889e-05,1.80724489354656e-05,1.4987816492896893e-05,1.818202750815362e-05,2.1809431819071068e-05,2.019601852223799e-05,2.388330525103752e-05,1.9295992075871893e-05,2.4068111327138152e-05,0.0005054730952750532,0.0004676253527917439,0.0005403743737894747,0.00044273855445075606,0.0005503797152661614,1.0,1.0,1.0,1.0,1.0
660,0.6747195619230291,0.6567642689730497,0.6802583405897351,0.6489125483878342,0.6807409264370968,0.07198882928236472,0.062217826532492936,0.07654135504611502,0.05688219482261494,0.07701482450539243,112.52859550411813,98.66492180619389,118.04901490802877,91.05009901104495,120.2585645171348,660.0,660.0,660.0,660.0,660.0,0.09331104800127372,0.08646710862830437,0.09653748845259882,0.08275768457046732,0.09690757419531595,1.7970987183381487e-05,1.62263002352008e-05,1.8851462397930593e-05,1.531268236232268e-05,1.8951277236570173e-05,2.3720681180722668e-05,2.1181189303319747e-05,2.515014026197159e-05,1.9821285251303994e-05,2.5322929771228774e-05,0.0004945711935587746,0.00047364472967920053,0.000507451789182919,0.000461441102253569,0.0005099098229619414,1.0,1.0,1.0,1.0,1.0
710,0.7089623555835574,0.6995065375626208,0.7096911374589934,0.6960008817525812,0.709695772465913,0.07495214097659157,0.06585510130922545,0.07698631425837872,0.06040514550832553,0.0775748888200826,113.4239554987289,104.51872040424496,115.36246039555408,99.07760201022029,116.3975029962603,710.0,710.0,710.0,710.0,710.0,0.09534889676201375,0.08911534695049506,0.09685944802311643,0.08543019288207529,0.09718858197821097,1.8541978212392972e-05,1.700673008058365e-05,1.893985099842342e-05,1.6121362925587525e-05,1.8992631768664463e-05,2.4721565901657595e-05,2.236772966950236e-05,2.5326295233287627e-05,2.1045901821326918e-05,2.5414798486459215e-05,0.0005116571585664178,0.0004695077197710173,0.0005234420977136368,0.0004607339253763665,0.0005241338183719801,1.0,1.0,1.0,1.0,1.0
760,0.7412670609135914,0.7266167572280505,0.745391647876,0.7186354286490988,0.7473944343740352,0.0749782397359003,0.06707390246966995,0.07924870743731717,0.06211688247130436,0.08061219940236981,116.90006099874154,106.6806597954128,118.93297979631461,102.26253199973144,119.89754899754189,760.0,760.0,760.0,760.0,760.0,0.09539692056458099,0.09003985337949318,0.09834038075718733,0.0867037036532894,0.09916275899946554,1.8566039834914126e-05,1.726214235867587e-05,1.930695683011395e-05,1.6483020807212613e-05,1.9480504231920218e-05,2.486020524155958e-05,2.2867386385545327e-05,2.603110053337339e-05,2.170186335769875e-05,2.63136357295151e-05,0.00046459992720366655,0.00045882450604843263,0.0004810379489214431,0.0004570925266035822,0.0004816907916202378,1.0,1.0,1.0,1.0,1.0
810,0.7719218361305378,0.7694562843505405,0.7816732494536675,0.7686041208912947,0.7860962822167964,0.07607911150619255,0.07004977190787165,0.08154578702525928,0.06604979309290772,0.0833612771879872,115.58688899618573,105.74571549938992,115.94132570037618,100.90195450000465,116.13576749805361,810.0,810.0,810.0,810.0,810.0,0.09613454416857843,0.09216898903058758,0.0998204807663858,0.08954592550876646,0.10091429912534866,1.8728845885707112e-05,1.7849014906257582e-05,1.965402762836875e-05,1.7274363169016298e-05,1.9885628694236496e-05,2.5155152927586653e-05,2.376397891575434e-05,2.669245043058802e-05,2.28737882249405e-05,2.7073383163233706e-05,0.0005136569702041924,0.0004643722045832488,0.0005301633373945657,0.00044736937427112015,0.0005407796345001762,1.0,1.0,1.0,1.0,1.0
860,0.808356700795352,0.7986159547078059,0.8134950572637377,0.7927715673460236,0.8163138678053162,0.07949998636144276,0.07096317629799787,0.08342101512280156,0.06583798051371435,0.0848350002644734,110.62199450912885,100.14847700041719,116.33912430191413,95.26042399578728,117.33376550022513,860.0,860.0,860.0,860.0,860.0,0.09841468817327242,0.09277139594067181,0.10102980946029153,0.0894277763802412,0.10185654628557003,1.9298042393299012e-05,1.8009862757331173e-05,1.9936836575882184e-05,1.7265283569757287e-05,2.0099842574733513e-05,2.6094624833928468e-05,2.4049968850670643e-05,2.717074921578055e-05,2.2876437108774106e-05,2.7444029926095842e-05,0.0005181899156496946,0.00046566836876321774,0.0005380507669167568,0.00043588816040557684,0.0005427465214506624,1.0,1.0,1.0,1.0,1.0
910,0.8394486220623959,0.8289801413523685,0.84371973393033,0.8227837877666295,0.8437715059615909,0.07953344370743372,0.07361589206214987,0.08444835420912426,0.06998528383859848,0.08490771700472083,112.46916849864647,101.9565964024514,117.07978219934739,98.63131400663406,118.50136499269865,910.0,910.0,910.0,910.0,910.0,0.09846495833640306,0.09462921300973255,0.10170445540248069,0.09233129516524832,0.10193196357015487,1.9330064422366655e-05,1.8484207656556007e-05,2.009797130748134e-05,1.8005766198901483e-05,2.0127288031990978e-05,2.6206089004559907e-05,2.482656744733526e-05,2.7489700496289444e-05,2.4065641082263173e-05,2.7533308718145054e-05,0.0005185865074954958,0.0004379716206746541,0.0005538540968896751,0.00042420247195283444,0.0005742859701140272,1.0,1.0,1.0,1.0,1.0
960,0.8782030854277341,0.865456885462042,0.882276320135319,0.8638950234487099,0.8827272750710052,0.08010124605171388,0.07322077711727226,0.0852760199028947,0.06915400805243271,0.08529892172689166,112.34180300147273,101.52405170956627,118.53279830119573,96.68043951271102,119.48093949933536,960.0,960.0,960.0,960.0,960.0,0.09876780139299109,0.09440693703237503,0.10225294976626358,0.09178937234245951,0.1023165671282748,1.9372142227668706e-05,1.8447726241391306e-05,2.0221804682304796e-05,1.7873505613607423e-05,2.0251589542233956e-05,2.6349249696868845e-05,2.4868408696993247e-05,2.7733004198668082e-05,2.3953366024862433e-05,2.778007833941901e-05,0.00047136400618069446,0.0004496279684439511,0.0005286128973537046,0.0004426766524723037,0.000531120218573351,1.0,1.0,1.0,1.0,1.0
