seed,method,K,fail_practical,infeasible_step_rate,fallback_episode,mean_solve_time,mean_K_used,max_K_used,success,reached,fall_down
16,fixedK70,70,1,0.9230769230769231,1,0.1824693554444743,70.0,70.0,1,1,0
16,fixedK80,80,1,0.49333333333333335,1,0.20505362928668244,80.0,80.0,1,1,0
16,unified_a001,40,1,0.8,1,0.17162896806664624,68.48333333333333,80.0,1,1,0
17,fixedK30,30,1,0.9133333333333333,1,0.10814921937669775,30.0,30.0,1,1,0
17,fixedK40,40,1,0.9,1,0.13144230512664157,40.0,40.0,1,1,0
17,fixedK50,50,1,0.85,1,0.13348211529000462,50.0,50.0,1,1,0
17,fixedK60,60,1,0.8466666666666667,1,0.14585032001669485,60.0,60.0,1,1,0
17,fixedK70,70,1,0.7966666666666666,1,0.15607298654334045,70.0,70.0,1,1,0
17,fixedK80,80,1,0.47333333333333333,1,0.19685563500000475,80.0,80.0,1,1,0
17,unified_a001,40,1,0.8433333333333334,1,0.15898368971666363,68.1,75.0,1,1,0
18,fixedK30,30,1,0.96,1,0.11156543484333573,30.0,30.0,1,1,0
18,fixedK40,40,1,0.79,1,0.12765102891333602,40.0,40.0,1,1,0
18,fixedK50,50,1,0.83,1,0.12211965883670321,50.0,50.0,1,1,0
18,fixedK60,60,1,0.82,1,0.16314302363333202,60.0,60.0,1,1,0
18,fixedK70,70,1,0.8033333333333333,1,0.15478816497332445,70.0,70.0,1,1,0
18,fixedK80,80,1,0.6266666666666667,1,0.1858446391966754,80.0,80.0,1,1,0
18,unified_a001,40,1,0.8,1,0.14460174000668302,67.93333333333334,75.0,1,1,0
19,fixedK30,30,1,0.9666666666666667,1,0.1053288549766512,30.0,30.0,1,1,0
19,fixedK40,40,1,0.8533333333333334,1,0.12675325430671971,40.0,40.0,1,1,0
19,fixedK50,50,1,0.85,1,0.13723349483997785,50.0,50.0,1,1,0
19,fixedK60,60,1,0.8166666666666667,1,0.15881559484665256,60.0,60.0,1,1,0
19,fixedK70,70,1,0.7766666666666666,1,0.1615422417766725,70.0,70.0,1,1,0
19,fixedK80,80,1,0.7133333333333334,1,0.20490206080001977,80.0,80.0,1,1,0
19,unified_a001,40,1,0.8433333333333334,1,0.16322755762330113,65.93333333333334,75.0,1,1,0
20,fixedK30,30,1,0.9433333333333334,1,0.11295306545668912,30.0,30.0,1,1,0
20,fixedK40,40,1,0.8833333333333333,1,0.13449844333666078,40.0,40.0,1,1,0
20,fixedK50,50,1,0.8233333333333334,1,0.1467897840066295,50.0,50.0,1,1,0
20,fixedK60,60,1,0.7766666666666666,1,0.15656282446335354,60.0,60.0,1,1,0
20,fixedK70,70,1,0.8233333333333334,1,0.18193731177335698,70.0,70.0,1,1,0
20,fixedK80,80,1,0.7766666666666666,1,0.19899503667330767,80.0,80.0,1,1,0
20,unified_a001,40,1,0.7466666666666667,1,0.1724485780233499,71.85,80.0,1,1,0
21,fixedK30,30,1,0.97,1,0.10762347055668518,30.0,30.0,0,1,1
21,fixedK40,40,1,0.87,1,0.1235257605233043,40.0,40.0,1,1,0
21,fixedK50,50,1,0.84,1,0.12736436034334475,50.0,50.0,1,1,0
21,fixedK60,60,1,0.8466666666666667,1,0.14395473529332473,60.0,60.0,1,1,0
21,fixedK70,70,1,0.7966666666666666,1,0.16278936162997526,70.0,70.0,1,1,0
21,fixedK80,80,1,0.3333333333333333,1,0.1954857588033186,80.0,80.0,1,1,0
21,unified_a001,40,1,0.7966666666666666,1,0.1607327879033164,67.98333333333333,75.0,1,1,0
22,fixedK30,30,1,0.8966666666666666,1,0.11842774683333422,30.0,30.0,1,1,0
22,fixedK40,40,1,0.8833333333333333,1,0.1390424788999917,40.0,40.0,1,1,0
22,fixedK50,50,1,0.8366666666666667,1,0.15030398768334333,50.0,50.0,1,1,0
22,fixedK60,60,1,0.8233333333333334,1,0.19101287082999988,60.0,60.0,1,1,0
22,fixedK70,70,1,0.75,1,0.1913376323433234,70.0,70.0,1,1,0
22,fixedK80,80,1,0.6433333333333333,1,0.2100934835700385,80.0,80.0,1,1,0
22,unified_a001,40,1,0.7266666666666667,1,0.19155606526335456,70.16666666666667,75.0,1,1,0
23,fixedK30,30,1,0.95,1,0.11912365098331974,30.0,30.0,1,1,0
23,fixedK40,40,1,0.9166666666666666,1,0.13643969709329212,40.0,40.0,1,1,0
23,fixedK50,50,1,0.7766666666666666,1,0.14374701221331027,50.0,50.0,1,1,0
23,fixedK60,60,1,0.8133333333333334,1,0.1749622526166695,60.0,60.0,1,1,0
23,fixedK70,70,1,0.8433333333333334,1,0.18156592877330088,70.0,70.0,1,1,0
23,fixedK80,80,1,0.9666666666666667,1,0.2585043126533037,80.0,80.0,1,1,0
23,unified_a001,40,1,0.79,1,0.2036011561000305,68.96666666666667,80.0,1,1,0
24,fixedK30,30,1,0.8566666666666667,1,0.12452587958331605,30.0,30.0,1,1,0
24,fixedK40,40,1,0.86,1,0.13804855648331796,40.0,40.0,1,1,0
24,fixedK50,50,1,0.8666666666666667,1,0.1604581680466496,50.0,50.0,1,1,0
24,fixedK60,60,1,0.8033333333333333,1,0.17756243569666974,60.0,60.0,1,1,0
24,fixedK70,70,1,0.7933333333333333,1,0.19700192429997515,70.0,70.0,1,1,0
24,fixedK80,80,1,0.8933333333333333,1,0.24652773318998394,80.0,80.0,1,1,0
24,unified_a001,40,1,0.8533333333333334,1,0.19207085427667758,64.65,75.0,1,1,0
25,fixedK30,30,1,0.7866666666666666,1,0.11721675709003648,30.0,30.0,1,1,0
25,fixedK40,40,1,0.8633333333333333,1,0.13366753447332183,40.0,40.0,1,1,0
25,fixedK50,50,1,0.8233333333333334,1,0.14612966736995986,50.0,50.0,1,1,0
25,fixedK60,60,1,0.8333333333333334,1,0.16024438636998942,60.0,60.0,1,1,0
25,fixedK70,70,1,0.83,1,0.16995071027331504,70.0,70.0,1,1,0
25,fixedK80,80,1,0.32,1,0.21665148794336347,80.0,80.0,1,1,0
25,unified_a001,40,1,0.82,1,0.17198958719993848,68.13333333333334,75.0,1,1,0
26,fixedK30,30,1,0.8933333333333333,1,0.1179301691700069,30.0,30.0,1,1,0
26,fixedK40,40,1,0.85,1,0.1432109913465926,40.0,40.0,1,1,0
26,fixedK50,50,1,0.8733333333333333,1,0.16516202610325612,50.0,50.0,1,1,0
26,fixedK60,60,1,0.8433333333333334,1,0.18945041208332744,60.0,60.0,1,1,0
26,fixedK70,70,1,0.7833333333333333,1,0.19427610624995698,70.0,70.0,1,1,0
26,fixedK80,80,1,0.72,1,0.22087141207338087,80.0,80.0,1,1,0
26,unified_a001,40,1,0.8,1,0.19428252957997758,66.73333333333333,75.0,1,1,0
27,fixedK30,30,1,0.9333333333333333,1,0.11767976148996846,30.0,30.0,1,1,0
27,fixedK40,40,1,0.8533333333333334,1,0.13368209844991724,40.0,40.0,1,1,0
