sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,local_min_cands,local_max_cands,clamp_reason
0.08,11,unified_a001,0,0,0,300,-1,0.08032811280332984,40.71666666666667,70.0,1.0,30.776665767852744,76.278002000854,577.0,100,1000,none
0.08,12,fixedK40,1,1,0,51,-1,0.09732441815595773,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,12,unified_a001,0,1,1,84,138,0.10086668444664913,45.15,90.0,1.0,17.051903279128954,67.16529128557598,577.0,100,1000,none
0.08,13,fixedK40,0,1,1,128,174,0.08799634290333719,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,13,unified_a001,1,1,0,166,-1,0.09658914653000616,44.45,75.0,1.0,23.859555788529246,69.2049356754179,577.0,100,1000,none
0.08,14,fixedK40,0,1,1,246,274,0.08069034724669867,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,14,unified_a001,1,1,0,111,-1,0.09666852806000255,44.43333333333333,75.0,1.0,17.80579844560793,64.7124123744536,577.0,100,1000,none
0.08,15,fixedK40,0,1,1,168,232,0.08446097638334323,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,15,unified_a001,0,1,1,51,62,0.08692052275999837,41.583333333333336,75.0,1.0,29.48580909365046,74.57618107484903,577.0,100,1000,none
0.08,16,fixedK40,0,0,0,300,-1,0.07728269179333438,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,16,unified_a001,0,0,0,300,-1,0.07989177834333229,40.583333333333336,80.0,1.0,30.856986388117754,76.27799548205344,577.0,100,1000,none
0.08,17,fixedK40,0,1,1,55,77,0.0858584923666649,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,17,unified_a001,0,1,1,217,253,0.08346867792335767,41.3,80.0,1.0,28.725497562088684,75.95796765678274,577.0,100,1000,none
0.08,18,fixedK40,0,1,1,71,197,0.09281233334336017,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,18,unified_a001,1,1,0,72,-1,0.10083665663333856,46.36666666666667,75.0,1.0,17.82472306762767,64.41371264487506,577.0,100,1000,none
0.08,19,fixedK40,0,1,1,68,272,0.09286931666000177,40.0,40.0,nan,nan,nan,nan,100,1000,
0.08,19,unified_a001,0,0,0,300,-1,0.08476674319999802,41.2,75.0,1.0,31.259740560331167,76.14305578611032,577.0,100,1000,none
0.1,0,fixedK40,0,1,1,64,122,0.08998988642667125,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,0,unified_a001,0,1,1,112,164,0.08934090157466046,44.20814479638009,80.0,1.0,26.594879243556438,74.78347848166426,577.0,100,1000,none
0.1,1,fixedK40,0,1,1,69,76,0.08659491148665287,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,1,unified_a001,0,1,1,63,95,0.08435628344214714,41.02040816326531,75.0,1.0,30.2590858716541,76.32813554958163,577.0,100,1000,none
0.1,2,fixedK40,1,1,0,160,-1,0.08781865086334922,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,2,unified_a001,0,1,1,55,89,0.0886808131840553,44.23312883435583,85.0,1.0,21.782345169488522,69.91917072267876,577.0,100,1000,none
0.1,3,fixedK40,0,1,1,51,193,0.09191087178664778,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,3,unified_a001,0,1,1,53,280,0.10064091513999757,48.15,90.0,1.0,13.901695675052164,64.15287901630374,577.0,100,1000,none
0.1,4,fixedK40,0,1,1,62,76,0.08110529849666667,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,4,unified_a001,0,1,1,55,75,0.0862886609024383,42.41463414634146,90.0,1.0,25.357320207202314,73.23220107451198,577.0,100,1000,none
0.1,5,fixedK40,0,1,1,63,79,0.0902142934500004,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,5,unified_a001,0,0,0,300,-1,0.07260554489667054,40.166666666666664,70.0,1.0,32.82540924453834,79.68196589760306,577.0,100,1000,none
0.1,6,fixedK40,0,1,1,67,127,0.08231521306000862,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,6,unified_a001,0,1,1,62,144,0.08711126206333726,42.06666666666667,90.0,1.0,24.194798633449135,72.13992421665515,577.0,100,1000,none
0.1,7,fixedK40,0,1,1,182,198,0.0777537255466632,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,7,unified_a001,0,1,1,66,269,0.10414780262999859,45.65,80.0,1.0,20.117671478514264,64.87788152166992,577.0,100,1000,none
0.1,8,fixedK40,0,0,0,300,-1,0.06896295831880918,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,8,unified_a001,0,1,1,67,214,0.09678407432002284,44.53333333333333,80.0,1.0,21.33211776208992,67.01232860519728,577.0,100,1000,none
0.1,9,fixedK40,0,1,1,52,166,0.0928014778966705,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,9,unified_a001,1,1,0,120,-1,0.10507600374665041,46.68333333333333,80.0,1.0,18.470951634834492,64.50603601384745,577.0,100,1000,none
0.1,10,fixedK40,0,1,1,65,97,0.08034358584666886,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,10,unified_a001,1,1,0,187,-1,0.09795381691828399,44.61538461538461,85.0,1.0,29.67942096128904,74.75852471731076,577.0,100,1000,none
0.1,11,fixedK40,0,1,1,50,121,0.09377363306333487,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,11,unified_a001,0,1,1,164,183,0.0804709787433391,40.583333333333336,65.0,1.0,28.442218645765266,75.83009466169965,577.0,100,1000,none
0.1,12,fixedK40,0,1,1,67,150,0.08987574875668088,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,12,unified_a001,1,1,0,78,-1,0.10240031664333098,46.5,95.0,1.0,14.23094771278022,63.618158072991406,577.0,100,1000,none
0.1,13,fixedK40,1,1,0,235,-1,0.08677966469998864,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,13,unified_a001,0,1,1,109,177,0.08807586377997571,41.85,75.0,1.0,25.68410097492613,73.1405847272264,577.0,100,1000,none
0.1,14,fixedK40,0,1,1,75,240,0.08996369983998496,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,14,unified_a001,0,1,1,66,211,0.1060604814366828,48.15,75.0,1.0,19.96313348228704,65.14912407204378,577.0,100,1000,none
0.1,15,fixedK40,0,1,1,70,107,0.0868980670766723,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,15,unified_a001,0,0,0,300,-1,0.0802883927799788,41.1,75.0,1.0,31.014308569760033,78.95885344370545,577.0,100,1000,none
0.1,16,fixedK40,0,1,1,54,145,0.08595099331003137,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,16,unified_a001,0,1,1,66,78,0.08730437626000821,42.68333333333333,80.0,1.0,28.702594219997355,73.43654617835159,577.0,100,1000,none
0.1,17,fixedK40,0,1,1,65,77,0.08757560706666785,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,17,unified_a001,0,1,1,65,81,0.0918306441833435,42.61666666666667,70.0,1.0,21.837021480359354,68.32411252333407,577.0,100,1000,none
0.1,18,fixedK40,0,1,1,69,97,0.08958135124334451,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,18,unified_a001,0,1,1,63,73,0.09112493361665959,42.266666666666666,85.0,1.0,25.398332705785894,71.69862984417797,577.0,100,1000,none
0.1,19,fixedK40,1,1,0,185,-1,0.08432535861334145,40.0,40.0,nan,nan,nan,nan,100,1000,
0.1,19,unified_a001,0,1,1,85,112,0.08438452319335132,41.516666666666666,70.0,1.0,30.45725985843699,74.94257717856422,577.0,100,1000,none
0.12,0,fixedK40,1,1,0,174,-1,0.08630031722997349,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,0,unified_a001,0,1,1,68,92,0.08016777721000533,41.233333333333334,75.0,1.0,28.11973045870715,75.30003541882579,577.0,100,1000,none
0.12,1,fixedK40,1,1,0,299,-1,0.07536757663664502,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,1,unified_a001,0,1,1,62,80,0.08146729235665286,40.86666666666667,70.0,1.0,30.45436253320316,77.00813317151083,577.0,100,1000,none
0.12,2,fixedK40,0,1,1,58,209,0.08681106414996975,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,2,unified_a001,1,1,0,140,-1,0.0957279559400043,44.5,80.0,1.0,19.785467030622627,68.21786141277867,577.0,100,1000,none
0.12,3,fixedK40,0,1,1,53,118,0.0876860709766667,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,3,unified_a001,0,1,1,55,147,0.0916441327838687,43.553113553113555,80.0,1.0,25.399607456152665,72.26391578231231,577.0,100,1000,none
0.12,4,fixedK40,1,1,0,166,-1,0.08765245875666854,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,4,unified_a001,0,1,1,53,158,0.10051182600333353,45.86666666666667,90.0,1.0,18.45997344228793,66.31797670545424,577.0,100,1000,none
0.12,5,fixedK40,0,1,1,96,138,0.08825658420762196,40.0,40.0,nan,nan,nan,nan,100,1000,
0.12,5,unified_a001,0,1,1,126,207,0.08738846054337349,41.71666666666667,80.0,1.0,30.407787201080623,74.90507665954742,577.0,100,1000,none
