sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,upright_fraction,longest_upright_streak,fall_event_count,local_min_cands,local_max_cands
0.02,30,fixedK40,1,1,0,196,-1,0.08646173542000042,40.0,40.0,nan,nan,nan,nan,0.43666666666666665,123,1,100,1000
0.02,30,unified_a001,0,1,1,79,87,0.08766205790333137,41.233333333333334,75.0,1.0,30.491648844819096,75.17297570656166,577.0,0.13333333333333333,22,3,100,1000
0.02,31,fixedK40,1,1,0,55,-1,0.09811848820665393,40.0,40.0,nan,nan,nan,nan,0.88,264,0,100,1000
0.02,31,unified_a001,0,1,1,52,167,0.10985812695000353,45.416666666666664,85.0,1.0,21.848350705583368,69.82801277413768,577.0,0.4166666666666667,125,1,100,1000
0.02,32,fixedK40,0,1,1,71,173,0.10477491988333895,40.0,40.0,nan,nan,nan,nan,0.6333333333333333,114,1,100,1000
0.02,32,unified_a001,0,0,0,300,-1,0.10294754964084879,43.83802816901409,75.0,1.0,26.096493572311715,71.85917230157176,577.0,0.23943661971830985,19,2,100,1000
0.02,33,fixedK40,0,1,1,61,74,0.09304149517666246,40.0,40.0,nan,nan,nan,nan,0.3466666666666667,69,2,100,1000
0.02,33,unified_a001,0,1,1,60,138,0.11114100512333608,46.28333333333333,95.0,1.0,21.315028854994672,68.0012333967867,577.0,0.5,88,2,100,1000
0.02,34,fixedK40,0,1,1,65,118,0.09939098288333602,40.0,40.0,nan,nan,nan,nan,0.6666666666666666,138,1,100,1000
0.02,34,unified_a001,1,1,0,90,-1,0.14090569455667112,56.05,85.0,1.0,15.702335570086797,61.63384749987843,577.0,0.8,229,1,100,1000
0.02,35,fixedK40,1,1,0,78,-1,0.10998492672335639,40.0,40.0,nan,nan,nan,nan,0.7466666666666667,224,1,100,1000
0.02,35,unified_a001,0,1,1,83,117,0.12806991581001057,48.266666666666666,85.0,1.0,17.571229879306046,66.79125088923571,577.0,0.59,119,3,100,1000
0.02,36,fixedK40,1,1,0,82,-1,0.11126606139999391,40.0,40.0,nan,nan,nan,nan,0.79,237,0,100,1000
0.02,36,unified_a001,1,1,0,80,-1,0.14121092785999736,57.516666666666666,80.0,1.0,13.179359755705777,63.00238894841545,577.0,0.7966666666666666,239,0,100,1000
0.02,37,fixedK40,0,1,1,56,146,0.1071617677328698,40.0,40.0,nan,nan,nan,nan,0.6137184115523465,100,2,100,1000
0.02,37,unified_a001,0,1,1,63,79,0.10497362752332871,42.083333333333336,75.0,1.0,25.82700280367102,70.94828645355169,577.0,0.28,41,2,100,1000
0.02,38,fixedK40,0,1,1,54,114,0.1153765586033387,40.0,40.0,nan,nan,nan,nan,0.7233333333333334,147,1,100,1000
0.02,38,unified_a001,0,1,1,69,206,0.12490909069667244,47.35,85.0,1.0,18.143115064831125,66.90876169689157,577.0,0.5833333333333334,150,2,100,1000
