seed,K,sigma_y,direct_set_ok,mean_sigma_min,min_sigma_min,mean_lambda_min,min_lambda_min,mean_solve_time
7,70,0.0,1,0.5159030329718501,0.4265622985998328,0.29859079574805897,0.18195539458677293,0.16932561428998572
8,70,0.0,1,0.59045147201023,0.4333697177755705,0.3796835766231254,0.18780931228487763,0.15353337262334207
9,70,0.0,1,0.5022731644158976,0.4244298453731406,0.2590112037879243,0.18014069364346802,0.16348376543335386
10,70,0.0,1,0.47064092035551863,0.43059679882247376,0.22322881296373964,0.18541360315616195,0.14137899024333517
11,70,0.0,1,0.47221096186854083,0.4510484139809429,0.22304135486899723,0.20344467175472405,0.13381561292334482
12,70,0.0,1,0.4741261395039756,0.446047741044562,0.22641179465921382,0.19895858729095664,0.1419206681600099
13,70,0.0,1,0.5370627483065742,0.4395133313181901,0.30841330827202085,0.19317196840641315,0.15571700070667854
14,70,0.0,1,0.47965024620909713,0.42679165712599604,0.23422638443690563,0.18215111859235378,0.1420815498633086
15,70,0.0,1,1.2240813052890271,0.4239744201158236,3.455672275973258,0.17975430891254887,0.1647151328033154
16,70,0.0,1,0.47978458825610837,0.4169005228050929,0.2338100073157321,0.17380604591515977,0.13863477846000327
17,70,0.0,1,0.4986829121883544,0.44631091649327714,0.25363436810970574,0.19919343418106902,0.15980263042334325
18,70,0.0,1,0.5422844489281066,0.44294827393849656,0.32236195185693445,0.1962031733850934,0.15944803789332884
19,70,0.0,1,0.47952828470908426,0.4135297698871546,0.23426003259100933,0.17100687058292305,0.14855935081667362
20,70,0.0,1,0.47854203135447515,0.4344345701862485,0.23354879353468685,0.18873339577291046,0.1508791551399645
21,70,0.0,1,0.521046180968217,0.45518817509462794,0.2885944082283435,0.20719627474597765,0.16537329415664923
22,70,0.0,1,0.4834722706744791,0.4142875535094556,0.24040554966643166,0.17163417699285005,0.14531747056000616
23,70,0.0,1,0.4967837474694263,0.43619260039925395,0.2596884406314078,0.19026398464306324,0.15187251321335377
24,70,0.0,1,0.4737324542099762,0.44128603123799065,0.22446996780135198,0.19473336136577687,0.13976028719664405
25,70,0.0,1,0.47435416438662914,0.4610290443261372,0.22504401045166675,0.2125477797122714,0.13984584981998827
26,70,0.0,1,0.47488969536368186,0.4637667439388759,0.22554968850013368,0.21507959278366687,0.1392305699833105
27,70,0.0,1,0.4635913479402856,0.44735013316314115,0.21500720605655507,0.2001221416410801,0.14269147529997706
28,70,0.0,1,0.4814392244993724,0.4307748030479619,0.23848991752266155,0.18556693094101034,0.1530096802600201
29,70,0.0,1,0.47062426174571564,0.44613071796359666,0.22355515868034787,0.19903261751071422,0.1441302469199915
0,80,0.0,1,0.49882695523540366,0.48292101999663106,0.24883196404708585,0.23321271155458656,0.16460279803333833
1,80,0.0,1,0.6948557116908488,0.4716583118244222,0.5094713022778664,0.22246156311306386,0.16990004166998915
2,80,0.0,1,0.6113049809590365,0.47568695389689997,0.410668149077846,0.22627807810771142,0.17256751460000486
3,80,0.0,1,0.53111336961093,0.4632560478907046,0.3003588439322443,0.21460616590731482,0.17259293054000713
4,80,0.0,1,0.5238414215501891,0.43520707150060284,0.29010940690543063,0.1894051950841308,0.16957201969999308
5,80,0.0,1,0.7262202773785941,0.4652096840656679,1.2600985726802825,0.2164200501484786,0.20360940776662573
6,80,0.0,1,0.5260541347892849,0.482317514270562,0.29049616250252086,0.23263018457213377,0.1678380741399936
7,80,0.0,1,0.5133967876967355,0.4687545951286436,0.2705510497691493,0.21973087045421857,0.17074433372666742
8,80,0.0,1,0.8162534318617535,0.4810842595777886,0.7151484410946699,0.2314420648135091,0.1854990618266826
