seed,scenario,method,theta0,thetadot0,success,reached,fall_down,time_to_upright,avg_solve_time,mean_K_used
11,nominal,unified_a001,0.17137188642341594,-0.4491028693694389,0,1,1,19,0.11180454069666439,46.38333333333333
12,nominal,fixedK40,0.09722774238274981,0.07978991654706502,1,1,0,19,0.09836790485666787,40.0
12,nominal,unified_a001,0.09722774238274981,0.07978991654706502,1,1,0,19,0.1354620397000038,59.15
13,nominal,fixedK40,-0.128398055672904,-0.20301841901211803,0,1,1,19,0.09569294220000112,40.0
13,nominal,unified_a001,-0.128398055672904,-0.20301841901211803,0,1,1,19,0.1026173348666642,45.93333333333333
14,nominal,fixedK40,-0.11084637163088558,-0.49136486355293196,1,1,0,19,0.10859869568666568,40.0
14,nominal,unified_a001,-0.11084637163088558,-0.49136486355293196,0,1,1,19,0.09987111472999952,44.03333333333333
15,nominal,fixedK40,0.10662487836326667,-0.219955701639579,0,1,1,19,0.09696178221667007,40.0
15,nominal,unified_a001,0.10662487836326667,-0.219955701639579,0,1,1,19,0.12068237334000136,51.86666666666667
16,nominal,fixedK40,0.12669200068157527,-0.3432772595558038,1,1,0,19,0.10176243390666287,40.0
16,nominal,unified_a001,0.12669200068157527,-0.3432772595558038,0,1,1,19,0.098015830546661,44.7
17,nominal,fixedK40,0.07637258807018062,0.3976243338408587,0,1,1,19,0.09604994034060535,40.0
17,nominal,unified_a001,0.07637258807018062,0.3976243338408587,1,1,0,19,0.12927493528333192,54.6
18,nominal,fixedK40,-0.03881671108225824,-0.11040334142579644,0,1,1,19,0.09302413568364831,40.0
18,nominal,unified_a001,-0.03881671108225824,-0.11040334142579644,0,1,1,19,0.11777216873666627,51.8
19,nominal,fixedK40,-0.08287353915957141,0.26901061387320935,0,1,1,19,0.09965216553667233,40.0
19,nominal,unified_a001,-0.08287353915957141,0.26901061387320935,0,1,1,19,0.12269834754333639,54.833333333333336
0,unseen,fixedK40,-0.0001864022830355694,-0.5771961912815906,0,1,1,19,0.09520136973000339,40.0
0,unseen,unified_a001,-0.0001864022830355694,-0.5771961912815906,1,1,0,19,0.12122117232667809,52.28333333333333
1,unseen,fixedK40,-0.1205083587505641,-0.6755954675845223,0,1,1,19,0.0973885354166767,40.0
1,unseen,unified_a001,-0.1205083587505641,-0.6755954675845223,0,1,1,19,0.1234167145966588,49.15
2,unseen,fixedK40,0.24891060183620942,-0.5428078678699744,0,1,1,19,0.10006605152667059,40.0
2,unseen,unified_a001,0.24891060183620942,-0.5428078678699744,0,1,1,19,0.11637047859333431,50.31666666666667
3,unseen,fixedK40,-0.2712056988217363,-0.1942965614370567,1,1,0,19,0.10544438843333864,40.0
3,unseen,unified_a001,-0.2712056988217363,-0.1942965614370567,0,1,1,19,0.126923425713325,50.55
4,unseen,fixedK40,-0.018579362670565126,0.04619191675066836,1,1,0,19,0.10858333684666453,40.0
4,unseen,unified_a001,-0.018579362670565126,0.04619191675066836,1,1,0,19,0.13296370919666894,58.25
